,open,high,low,close,volume
2024-04-28 22:00:00,25.5,26.5,24.0,24.5,24942270
2024-05-05 22:00:00,24.8799991607666,26.8799991607666,24.5,24.979999542236328,4130938
2024-05-12 22:00:00,25.040000915527344,25.860000610351562,24.81999969482422,25.579999923706055,787391
2024-05-19 22:00:00,25.799999237060547,26.200000762939453,25.639999389648438,25.920000076293945,610512
2024-05-26 22:00:00,26.040000915527344,26.399999618530273,25.760000228881836,26.0,618314
2024-06-02 22:00:00,26.0,26.3799991607666,25.18000030517578,25.3799991607666,616982
2024-06-09 22:00:00,25.920000076293945,27.780000686645508,25.559999465942383,26.959999084472656,1600454
2024-06-16 22:00:00,27.399999618530273,27.399999618530273,26.479999542236328,26.6299991607666,711926
2024-06-23 22:00:00,26.760000228881836,26.829999923706055,25.520000457763672,26.100000381469727,829744
2024-06-30 22:00:00,26.15999984741211,26.389999389648438,25.559999465942383,25.559999465942383,433228
2024-07-07 22:00:00,25.799999237060547,26.549999237060547,25.239999771118164,25.81999969482422,1048393
2024-07-14 22:00:00,25.93000030517578,26.149999618530273,25.010000228881836,26.0,3621719
2024-07-21 22:00:00,26.139999389648438,27.209999084472656,25.049999237060547,25.670000076293945,1758490
2024-07-28 22:00:00,25.84000015258789,26.1299991607666,24.559999465942383,24.59000015258789,1247077
2024-08-04 22:00:00,24.459999084472656,24.459999084472656,22.420000076293945,23.270000457763672,2519446
2024-08-11 22:00:00,23.329999923706055,23.969999313354492,22.530000686645508,23.760000228881836,2483363
2024-08-18 22:00:00,23.850000381469727,25.1299991607666,23.56999969482422,25.010000228881836,1390849
2024-08-25 22:00:00,24.93000030517578,25.3700008392334,24.420000076293945,25.360000610351562,3086507
2024-09-01 22:00:00,25.389999389648438,25.8700008392334,21.059999465942383,21.200000762939453,3166457
2024-09-08 22:00:00,21.299999237060547,21.299999237060547,19.790000915527344,20.200000762939453,4009997
2024-09-15 22:00:00,20.399999618530273,20.799999237060547,19.860000610351562,19.860000610351562,2649250
2024-09-22 22:00:00,20.040000915527344,20.81999969482422,19.420000076293945,20.610000610351562,2095349
2024-09-29 22:00:00,21.0,21.100000381469727,19.924999237060547,20.100000381469727,1502498
2024-10-06 22:00:00,20.1299991607666,20.34000015258789,19.559999465942383,19.674999237060547,1543072
2024-10-13 22:00:00,19.600000381469727,19.68000030517578,18.524999618530273,19.09000015258789,2237195
2024-10-20 22:00:00,19.149999618530273,19.950000762939453,18.610000610351562,19.399999618530273,1778499
2024-10-27 23:00:00,19.549999237060547,22.3700008392334,19.434999465942383,20.899999618530273,2643656
2024-11-03 23:00:00,20.809999465942383,20.889999389648438,19.5,19.68000030517578,1420112
2024-11-10 23:00:00,19.899999618530273,19.940000534057617,18.959999084472656,19.104999542236328,1836960
2024-11-17 23:00:00,19.239999771118164,19.43000030517578,18.375,19.389999389648438,1312124
2024-11-24 23:00:00,19.600000381469727,20.079999923706055,19.520000457763672,19.920000076293945,1049963
2024-12-01 23:00:00,19.940000534057617,20.350000381469727,17.899999618530273,18.989999771118164,1709524
2024-12-08 23:00:00,19.28499984741211,19.559999465942383,18.75,18.90999984741211,2312778
2024-12-15 23:00:00,19.0,19.020000457763672,17.290000915527344,17.454999923706055,6637334
