Year,Realised P/L (EUR),Sell trades,Winners,Losers
2025.0,1020.3392473687317,12.0,7.0,5.0
2026.0,-691.8454144599314,25.0,7.0,18.0
TOTAL,328.4938329088003,37.0,14.0,23.0
