Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),Simple Return %,MWR % (YTD),MWR % (ann.)
The Coca-Cola Company,KO,revolut,USD,177.51245579001417,0.0,199.51409978308024,0.0,16.288816764212328,5.71282722885374,22.001643993066068,12.394422630878703,41.00979985119426,250.55803912726066
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,250.01,0.0,247.88261379536536,0.0,-2.1273862046346323,-2.1273862046346323,-0.8509204450360516,-9.058275196587973,-29.289219369511088
Gold,XAU,revolut,EUR,0.0,252.48,0.0,230.246407860322,0.0,-22.233592139677995,-22.233592139677995,-8.806080536944707,-64.09321966089674,-97.62100189076443
Elastic,ESTC,revolut,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Prysmian Group,PRY.MI,revolut,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Dermant,WDH1.HA,revolut,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TOTAL (priced only),,,,177.51245579001417,502.49,199.51409978308024,478.1290216556873,16.288816764212328,-18.648151115458887,-2.3593343512465594,-0.34695968097725893,-2.592318520553061,-9.14157525951936
