Investment,Code,Platform,Ccy,Net amount,Cost (EUR),Last price (ccy),Value (ccy),FX→EUR,Value (EUR),Unrealised (EUR),Unrealised %,Price_Missing
Gold,XAU,revolut,USD,0.144924,504.98,4635.84912109375,671.8457980253906,1.1522064208984375,583.0949956879396,78.11499568793954,15.468928608645797,False
The Coca-Cola Company,KO,revolut,USD,3.01772879,183.2252830188679,76.72000122070312,231.52015645255096,1.1522064208984375,200.93635328990982,17.711070271041905,9.66628075516089,False
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,6.685987659999999,750.01,109.63999938964844,733.051682961597,1.0,733.051682961597,-16.958317038403038,-2.2610787907365286,False
TOTALS (priced only),,,,,1438.215283018868,,,,1517.0830319394463,78.86774892057838,5.483723462806765,False
Unpriced cost at risk,,,,,0.0,,,,,,,True
