Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),MWR % (YTD),MWR % (ann.)
The Coca-Cola Company,KO,revolut,USD,177.51245579001417,0.0,0.0,200.93635328990982,0.0,23.423897499895645,23.423897499895645,13.195635988258548,62.65485803443883
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,250.01,0.0,733.051682961597,0.0,483.04168296159696,483.04168296159696,,
Gold,XAU,revolut,EUR,0.0,252.48,0.0,583.0949956879396,0.0,330.61499568793954,330.61499568793954,,
TOTAL (priced only),,,,177.51245579001417,502.49,0.0,1517.0830319394463,0.0,837.0805761494321,837.0805761494321,460.8676208749853,86811.17885863087
