Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
0B2.F,Bawag,stock,Revolut,Euro,BUY,IN_POS,133.40,107.02,102.74,-23.0%,Above Target,⭐⭐⭐,85,85,2.38%,ON,VALID,OPEN,,Normal Range,0,60.0%,59.5,58.7,0.093,0.502,,,22,72.7%,77.8%,7.46%,1174.70%,TRAILING_STOP,S3_HOLD16_BUF,7%,Fresh,87.5%,87.5%,17.80%,Early Edge
AMD,AMD,stock,Revolut,USD,BUY,IN_POS,217.50,225.27,216.26,-0.6%,Above Target,⭐,48,48,3.47%,ON,VALID,OFF,,Normal Range,2,70.6%,56.3,57.6,1.301,1.119,,,35,68.6%,71.4%,8.40%,314487.96%,BACKTEST_END,S5_COMBO,33%,Mid,57.1%,48.5%,5.04%,Mid OK
BRBY.L,Vistry Group,stock,Moneybase,GBP,BUY,IN_POS,10.91,5.81,5.58,-48.9%,Above Target,⭐,56,56,-0.64%,ON,VALID,OPEN,,Lower Quartile,0,50.0%,46.9,51.6,3.708,3.551,,,61,68.9%,50.0%,4.66%,3754.72%,BACKTEST_END,S8_DI_GUARD_BUF,14%,Fresh,66.7%,66.7%,5.84%,Mid OK
FISV,Fiserv,stock,Revolut,USD,BUY,ARMED,56.16,93.03,89.31,59.0%,Attractive,⭐⭐⭐,92,92,1.28%,ON,VALID,OFF,57.95,Lower Quartile,1,72.7%,30.1,42.9,0.384,0.115,,,42,73.8%,71.4%,7.89%,2230.80%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,6%,Fresh,71.4%,71.4%,11.82%,Early Edge
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,266.60,332.48,319.18,19.7%,Moderate,⭐,58,58,-0.45%,ON,VALID,OPEN,,Normal Range,1,68.8%,58.9,60.4,1.281,0.249,,,34,67.6%,75.0%,6.12%,1795.94%,BACKTEST_END,S5_COMBO_BUF,63%,Mature,75.0%,48.8%,6.23%,Mid OK
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,BUY,BUY,36.29,,,,No Target,⭐⭐⭐,9,9,,,BUY,,,ETF Pullback,,71.9%,,42.5,,-0.041,2.23x [moderate],,63,71.9%,71.9%,11.90%,10.11%,"drawdown_macd_turn, rsi14=42.51, rsi_sup=56.56, dd20=0.046, dd_th=0.021, bullish_day, macd_improving, buy_window_open",,,,,,,
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,9.96,13.47,12.93,29.8%,Attractive,⭐⭐,64,64,0.40%,ON,VALID,OFF,,Extended,1,88.9%,77.6,75.2,0.102,0.018,,,40,67.5%,80.0%,3.07%,3598.97%,BACKTEST_END,S5_COMBO,36%,Mid,80.0%,68.0%,4.94%,Mid OK
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.30,4.05,3.89,17.7%,Moderate,⭐⭐⭐,78,78,-0.06%,ON,VALID,OPEN,,Upper Quartile,0,100.0%,41.4,60.4,0.033,0.021,,,21,61.9%,64.3%,3.81%,143.82%,BACKTEST_END,S1_FAST,14%,Fresh,70.0%,70.0%,3.64%,Early Edge
ORCL,Oracle,stock,Revolut,USD,BUY,ARMED,146.38,175.86,168.83,15.3%,Moderate,⭐⭐⭐,96,96,0.79%,ON,VALID,OFF,153.90,Lower Quartile,1,90.9%,39.6,45.5,0.684,0.234,,,42,71.4%,75.0%,3.36%,1812.15%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,8%,Fresh,100.0%,100.0%,27.62%,Early Edge
PRY.MI,Prysmian,stock,Revolut,Euro,BUY,IN_POS,104.70,99.00,95.04,-9.2%,Above Target,⭐⭐,75,75,0.05%,ON,VALID,OPEN,,Upper Quartile,1,62.5%,65.7,61.1,0.341,0.544,,,61,80.3%,78.6%,5.42%,10985.15%,RSI_BAND_DROP,S8_DI_GUARD,14%,Fresh,90.9%,90.9%,5.93%,Early Edge
