Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
0B2.F,Bawag,stock,Revolut,Euro,BUY,IN_POS,140.60,107.02,102.74,-26.9%,Above Target,⭐⭐⭐,81,81,0.57%,ON,VALID,OPEN,,Extended,0,50.0%,65.9,66.3,0.705,0.533,,,21,76.2%,80.0%,6.84%,1121.03%,BACKTEST_END,S3_HOLD16,2Y,306.7%,101.7%,OK,,23%,Fresh,87.5%,87.5%,18.76%,Early Edge
AAPL,Apple,stock,Revolut,USD,BUY,IN_POS,260.48,14.87,14.28,-94.5%,Above Target,⭐⭐⭐,85,85,-0.00%,ON,NO,OPEN,,Lower Quartile,1,84.6%,53.2,55.6,0.621,0.436,,,52,75.0%,75.0%,7.20%,15124.57%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,106.9%,43.8%,OK,,14%,Fresh,85.7%,85.7%,13.42%,Early Edge
BA,The Boeing Company,stock,Revolut,USD,BUY,IN_POS,217.63,161.69,155.22,-28.7%,Above Target,⭐,52,52,-1.10%,ON,VALID,OPEN,,Normal Range,0,52.4%,51.6,55.7,0.820,0.855,,,45,60.0%,66.7%,3.38%,2577.01%,BACKTEST_END,S12_RECOVERY,2Y,135.3%,53.4%,OK,,36%,Mid,73.3%,62.3%,5.77%,Mid OK
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,BUY,IN_POS,40.34,54.22,52.05,29.0%,Attractive,⭐⭐⭐,85,85,0.75%,ON,VALID,OPEN,,Normal Range,1,80.8%,49.2,59.9,0.163,0.094,,,54,77.8%,92.9%,2.43%,1338.59%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,63.2%,27.7%,OK,,14%,Fresh,87.5%,87.5%,3.36%,Early Edge
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,272.80,332.48,319.18,17.0%,Moderate,,24,24,-1.45%,ON,VALID,OPEN,,Upper Quartile,1,87.5%,60.4,62.7,1.231,0.068,,,62,83.9%,100.0%,3.89%,3126.21%,BACKTEST_END,S11_VOLATILE_FAST,2Y,59.8%,26.4%,OK,,118%,Late,100.0%,20.0%,5.25%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,BUY,IN_POS,4.10,4.95,4.75,15.8%,Moderate,⭐⭐⭐,86,86,1.08%,ON,VALID,OPEN,,Extended,1,90.9%,58.0,72.6,0.021,0.014,,,70,74.3%,87.5%,2.52%,2474.42%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,133.8%,52.9%,OK,,18%,Fresh,92.3%,92.3%,7.31%,Early Edge
MONY.L,Moneysupermarket,stock,Moneybase,GBP,BUY,IN_POS,1.62,2.39,2.29,41.6%,Attractive,⭐⭐,71,71,2.73%,ON,VALID,OPEN,,Normal Range,-1,48.0%,44.3,55.5,0.550,0.830,,,51,54.9%,50.0%,2.24%,743.40%,BACKTEST_END,S1_FAST,2Y,11.5%,5.6%,BROKEN,YES,14%,Fresh,66.7%,66.7%,7.32%,Mid OK
MUV2.DE,CTS Eventim AG,stock,Revolut,Euro,BUY,IN_POS,549.40,78.74,75.59,-86.2%,Above Target,⭐⭐⭐,80,80,-1.01%,ON,NO,OPEN,,Normal Range,1,80.6%,53.5,59.0,1.492,0.396,,,63,84.1%,100.0%,5.05%,3825.54%,BACKTEST_END,S11_VOLATILE_FAST,2Y,68.8%,29.9%,OK,,18%,Fresh,100.0%,100.0%,10.53%,Early Edge
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.42,4.05,3.89,13.8%,Moderate,⭐,50,50,-0.09%,ON,VALID,OPEN,,Extended,1,100.0%,43.9,64.7,0.040,0.014,,,23,65.2%,66.7%,2.31%,157.49%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,28.6%,13.4%,OK,,49%,Mid,53.3%,45.3%,0.52%,Mid OK
NVDA,NVIDIA,stock,Revolut,USD,BUY,ARMED,188.63,218.70,209.95,11.3%,Moderate,⭐⭐⭐,93,93,2.57%,ON,VALID,OPEN,185.26,Upper Quartile,2,100.0%,56.8,61.3,1.161,0.910,,,44,88.6%,85.7%,12.37%,216860.07%,TRAILING_STOP,S8_DI_GUARD,2Y,201.3%,73.6%,OK,,13%,Fresh,100.0%,100.0%,37.25%,Early Edge
SAN.PA,SAN,stock,Revolut,Euro,BUY,IN_POS,80.19,115.90,111.26,38.8%,Attractive,⭐,59,59,-0.90%,ON,NO,OPEN,,Lower Quartile,1,93.8%,47.1,51.3,0.098,-0.100,,,64,79.7%,84.6%,3.10%,1621.27%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,48.5%,21.9%,OK,,43%,Mid,73.8%,62.7%,2.61%,Mid OK
SCR.PA,SCOR SE,stock,Revolut,Euro,BUY,IN_POS,32.12,3.36,3.23,-90.0%,Above Target,,18,18,1.07%,ON,VALID,OPEN,,Extended,1,77.8%,64.8,69.8,0.148,0.061,,,60,76.7%,90.0%,3.43%,3528.04%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,112.5%,45.8%,OK,,194%,Late,90.0%,18.0%,11.56%,Exhausted
XYZ,Block Inc,stock,Revolut,USD,BUY,IN_POS,62.20,71.62,68.76,10.5%,Moderate,⭐⭐⭐,93,93,-0.78%,ON,VALID,OPEN,,Normal Range,2,83.3%,49.0,55.7,0.344,0.106,,,26,80.8%,80.0%,12.46%,6133.65%,BACKTEST_END,S1_FAST,2Y,185.9%,69.1%,OK,,10%,Fresh,85.7%,85.7%,25.85%,Early Edge
III.L,3I Group,stock,Moneybase,GBP,BLOCKED,IN_POS,26.91,31.74,30.47,13.3%,Moderate,⭐⭐⭐,96,96,-0.26%,ON,VALID,OPEN,,Lower Quartile,1,63.6%,39.0,46.1,12.016,13.920,,Lower-low still forming (price still breaking down),44,72.7%,75.0%,2.90%,3889.03%,BACKTEST_END,S3_HOLD16_BUF,2Y,73.0%,31.5%,OK,,19%,Fresh,85.7%,85.7%,21.02%,Early Edge
QLT.L,Quilter,stock,Moneybase,GBP,BLOCKED,IN_POS,1.84,2.22,2.13,15.8%,Moderate,⭐⭐⭐,91,91,0.49%,ON,VALID,OPEN,,Lower Quartile,-2,42.9%,53.3,56.0,0.139,0.536,,Lower-low still forming (price still breaking down),26,69.2%,73.3%,2.75%,225.67%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,75.9%,32.6%,OK,,18%,Fresh,80.0%,80.0%,9.45%,Early Edge
TEF.MC,Telefonica,stock,Revolut,Euro,BLOCKED,IN_POS,3.84,4.79,4.60,19.7%,Moderate,⭐,54,54,0.03%,ON,NO,OPEN,,Upper Quartile,-2,16.7%,52.1,60.7,0.022,-0.000,,Lower-low still forming (price still breaking down),59,66.1%,100.0%,2.19%,992.98%,BACKTEST_END,S2_HOLD12_BUF,2Y,66.8%,29.2%,OK,,54%,Mature,100.0%,65.0%,4.57%,Mid OK
PRY.MI,Prysmian,stock,Revolut,Euro,IN_POS,IN_POS,119.80,99.00,95.04,-20.7%,Above Target,⭐,52,52,3.63%,ON,VALID,OPEN,,Extended,1,75.0%,74.6,75.9,1.409,1.021,,,61,73.8%,76.9%,4.80%,11986.96%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,262.7%,90.5%,OK,,43%,Mid,81.5%,69.3%,7.03%,Mid OK
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,111.94,,,,No Target,⭐⭐,6,6,,,NO,,,ETF Pullback,,81.8%,,57.2,,0.315,0.27x [mild],"drawdown_macd_turn, rsi14=57.24, rsi_sup=58.59, dd20=0.006, dd_th=0.020, bullish_day, macd_improving",26,81.8%,81.8%,13.82%,15.96%,"drawdown_macd_turn, rsi14=57.24, rsi_sup=58.59, dd20=0.006, dd_th=0.020, bullish_day, macd_improving",,,,,,,,,,,,
WDH1.HA,Dermant AS,stock,Revolut,Euro,IN_POS,IN_POS,26.36,33.70,32.35,22.7%,Attractive,⭐,46,46,4.85%,ON,VALID,OPEN,,Normal Range,1,75.0%,44.6,58.2,0.150,0.088,,,10,80.0%,80.0%,3.26%,86.29%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,34.8%,16.1%,OK,,57%,Mature,80.0%,52.0%,3.26%,Mid OK
