Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason
1T4.F,Torm,stock,Revolut,Euro,BUY,IN_POS,23.90,27.95,26.83,12.3%,Moderate,⭐⭐,6,0.00%,ON,VALID,OFF,,Normal Range,1,68.2%,64.3,56.5,0.088,0.064,,46,69.6%,55.6%,10.13%,39730741.99%,TRAILING_STOP
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,BUY,IN_POS,0.94,0.98,0.94,-0.1%,Above Target,⭐,0,1.29%,ON,VALID,OFF,,Normal Range,0,57.1%,57.8,53.5,0.000,0.001,,17,52.9%,63.6%,0.47%,18.78%,BACKTEST_END
EVK.DE,Evonik,stock,Revolut,Euro,IN_POS,IN_POS,15.32,17.13,16.44,7.3%,Near Target,⭐,0,4.22%,ON,VALID,OPEN,,Extended,0,50.0%,54.7,62.0,0.115,0.080,,46,63.0%,69.2%,2.52%,825.55%,BACKTEST_END
INTU,Intuit,stock,Revolut,USD,IN_POS,IN_POS,426.86,636.28,610.83,43.1%,Attractive,⭐⭐⭐,10,-1.29%,ON,NO,OFF,,Lower Quartile,0,63.6%,37.4,43.0,1.384,-1.483,Lower-low still forming (price still breaking down),42,78.6%,63.6%,7.06%,3325.67%,BACKTEST_END
MEL.MC,Melia Hotels,stock,Revolut,Euro,IN_POS,IN_POS,9.61,11.15,10.70,11.4%,Moderate,⭐,4,3.28%,ON,VALID,OFF,,Extended,2,87.5%,75.1,73.4,0.096,0.037,,45,68.9%,81.8%,4.32%,3048.18%,BACKTEST_END
ROP,Roper Technologies,stock,Revolut,USD,IN_POS,IN_POS,346.72,460.58,442.16,27.5%,Attractive,⭐⭐⭐,11,0.23%,ON,NO,OFF,,Lower Quartile,2,72.7%,34.9,42.4,1.085,-0.212,Lower-low still forming (price still breaking down),42,66.7%,44.4%,2.86%,927.93%,BACKTEST_END
ZAL.DE,Zalando SE,stock,Revolut,Euro,IN_POS,IN_POS,21.47,34.87,33.48,55.9%,Attractive,⭐⭐⭐,11,0.61%,ON,NO,OFF,,Lower Quartile,2,87.5%,42.0,48.2,0.012,-0.045,,29,69.0%,62.5%,8.41%,2621.04%,BACKTEST_END
CA.PA,CA,stock,Revolut,Euro,WATCH,IN_POS,15.41,20.28,19.47,26.3%,Attractive,⭐⭐⭐,14,0.52%,ON,NO,OFF,,Lower Quartile,1,75.0%,60.8,52.1,-0.005,-0.002,,61,75.4%,93.3%,2.46%,1683.53%,BACKTEST_END
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WATCH,WATCH,32.32,39.32,37.75,16.8%,Moderate,⭐⭐⭐,12,-0.37%,ON,NO,OPEN,,Lower Quartile,1,86.7%,58.7,51.1,0.033,-0.026,,59,69.5%,81.8%,2.48%,2030.04%,TRAILING_STOP
FISV,Fiserv,stock,Revolut,USD,WATCH,IN_POS,56.64,96.40,92.54,63.4%,Attractive,⭐⭐⭐,9,0.53%,ON,NO,OFF,,Lower Quartile,0,66.7%,27.4,39.2,0.343,0.003,Lower-low still forming (price still breaking down),45,77.8%,57.1%,7.59%,1716.05%,BACKTEST_END
