Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,128.50,102.45,98.35,-23.5%,Above Target,,27,27,-1.91%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,56.1,51.2,-0.232,0.233,,19,73.7%,75.0%,6.09%,498.21%,TRAILING_STOP,293%,Late,75.0%,15.0%,11.98%,Exhausted
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,62.26,94.75,90.96,46.1%,Attractive,,25,25,-1.02%,OFF,NO,OFF,,Limited history,0,,27.2,44.0,0.140,0.183,Lower-low still forming (price still breaking down),0,,,,,Insufficient history,,Limited history,,,,Limited history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,9.03,13.40,12.86,42.5%,Attractive,,16,16,0.33%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,28.7,27.6,-0.158,0.052,Strong downtrend (ADX high & rising; -DI dominant),13,69.2%,69.2%,2.17%,51.53%,HARD_STOP_FROM_ENTRY,232%,Late,69.2%,13.8%,2.17%,Exhausted
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.81,50.04,48.04,17.7%,Moderate,,18,18,-1.23%,OFF,VALID,OFF,,Lower Quartile,2,71.4%,38.5,38.8,-0.309,0.071,,53,67.9%,88.9%,4.97%,2840.07%,TRAILING_STOP,376%,Late,88.9%,17.8%,13.59%,Exhausted
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,240.88,389.47,373.89,55.2%,Attractive,⭐,46,46,1.53%,OFF,NO,OFF,,Lower Quartile,2,90.0%,29.4,34.2,-0.776,-0.103,Strong downtrend (ADX high & rising; -DI dominant),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP,57%,Mature,89.1%,57.9%,3.05%,Mid OK
ADSK,Autodesk,stock,Revolut,USD,WAIT,WAIT,239.83,315.66,303.03,26.4%,Attractive,⭐,50,50,1.87%,OFF,NO,OFF,,Lower Quartile,1,66.7%,40.1,42.9,-0.145,-0.380,,57,68.4%,75.0%,6.11%,5226.18%,TREND_BREAK_MA40_TWO_NEG_SLOPE,57%,Mature,75.0%,48.8%,3.34%,Mid OK
AKE.PA,Arkema,stock,Revolut,Euro,WAIT,WAIT,55.70,65.36,62.75,12.6%,Moderate,,33,33,0.72%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,50.0,51.0,0.113,0.202,,44,61.4%,70.0%,2.02%,1639.95%,TRAILING_STOP,265%,Late,70.0%,14.0%,4.31%,Exhausted
AKE.PA,AKE,stock,Revolut,Euro,WAIT,WAIT,55.70,65.34,62.73,12.6%,Moderate,,33,33,0.72%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,50.0,51.0,0.113,0.202,,44,61.4%,70.0%,2.02%,1639.95%,TRAILING_STOP,265%,Late,70.0%,14.0%,4.31%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.00,13.81,13.26,47.4%,Attractive,,20,20,1.22%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,23.7,31.7,-0.141,0.070,,43,83.7%,77.8%,5.03%,4635.94%,HARD_STOP_FROM_ENTRY,174%,Late,77.8%,15.6%,1.32%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,50.02,68.28,65.55,31.0%,Attractive,,16,16,-1.34%,OFF,VALID,OFF,,Lower Quartile,1,90.9%,33.4,43.5,-0.042,0.003,Lower-low still forming (price still breaking down),43,76.7%,77.8%,2.86%,950.31%,TREND_BREAK_MA40_TWO_NEG_SLOPE,193%,Late,62.2%,12.4%,1.46%,Exhausted
