Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
1T4.F,Torm,stock,Revolut,Euro,BUY,IN_POS,24.05,27.95,26.83,11.6%,Moderate,⭐⭐,65,65,0.75%,ON,VALID,OFF,,Normal Range,1,69.6%,64.8,56.8,0.071,0.033,,,47,70.2%,60.0%,7.93%,41982620.12%,BACKTEST_END,43%,Mid,76.0%,64.6%,9.90%,Mid OK
AKE.PA,Arkema,stock,Revolut,Euro,BUY,IN_POS,58.30,65.36,62.75,7.6%,Near Target,⭐⭐,76,76,0.00%,ON,VALID,OPEN,,Normal Range,0,57.1%,52.9,57.1,0.256,0.240,,,45,62.2%,72.7%,2.04%,1684.32%,BACKTEST_END,18%,Fresh,75.0%,75.0%,6.89%,Early Edge
AKE.PA,AKE,stock,Revolut,Euro,BUY,IN_POS,58.30,65.34,62.73,7.6%,Near Target,⭐⭐,76,76,0.00%,ON,VALID,OPEN,,Normal Range,0,57.1%,52.9,57.1,0.256,0.240,,,45,62.2%,72.7%,2.04%,1684.32%,BACKTEST_END,18%,Fresh,75.0%,75.0%,6.89%,Early Edge
CA.PA,CA,stock,Revolut,Euro,BUY,IN_POS,15.90,20.28,19.47,22.4%,Attractive,,15,15,1.79%,ON,VALID,OFF,,Upper Quartile,1,100.0%,64.4,60.2,0.030,0.032,,,61,77.0%,100.0%,2.58%,1740.82%,BACKTEST_END,86%,Late,100.0%,20.0%,3.53%,Late Risk
EVK.DE,Evonik,stock,Revolut,Euro,BUY,IN_POS,16.75,17.13,16.44,-1.8%,Above Target,⭐,48,48,0.18%,ON,VALID,OFF,,Extended,0,50.0%,61.6,73.1,0.186,0.094,,,46,63.0%,69.2%,2.52%,911.95%,BACKTEST_END,38%,Mid,69.2%,58.8%,5.11%,Mid OK
FISV,Fiserv,stock,Revolut,USD,BUY,ARMED,55.80,96.40,92.54,65.8%,Attractive,⭐⭐,67,67,2.33%,ON,VALID,OFF,57.95,Lower Quartile,0,66.7%,29.3,40.8,0.355,0.075,,,45,77.8%,57.1%,7.59%,1750.36%,HARD_STOP_FROM_ENTRY,4%,Fresh,57.1%,57.1%,7.34%,Mid OK
GNN.F,GN Store Nord,stock,Revolut,Euro,BUY,IN_POS,13.54,16.28,15.63,15.4%,Moderate,⭐,58,58,5.86%,ON,VALID,OPEN,,Normal Range,2,70.8%,50.2,56.0,0.087,0.074,,,48,75.0%,71.4%,5.22%,8754.65%,BACKTEST_END,38%,Mid,77.1%,65.5%,2.82%,Mid OK
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,9.57,11.15,10.70,11.8%,Moderate,,21,21,1.27%,ON,VALID,OFF,,Extended,2,87.5%,74.9,70.1,0.071,0.003,,,45,68.9%,81.8%,4.32%,3035.07%,BACKTEST_END,121%,Late,81.8%,16.4%,6.95%,Exhausted
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.18,3.94,3.78,18.9%,Moderate,⭐⭐⭐,83,83,2.71%,ON,VALID,OFF,,Normal Range,0,55.6%,38.7,55.4,0.023,0.020,,,19,63.2%,66.7%,3.85%,120.91%,HARD_STOP_FROM_ENTRY,6%,Fresh,70.0%,70.0%,4.30%,Early Edge
NKT.SG,NKT Holding,stock,Revolut,Euro,BUY,IN_POS,112.80,128.27,123.14,9.2%,Near Target,⭐⭐⭐,88,88,3.20%,ON,VALID,OPEN,,Extended,0,,66.4,61.7,0.141,0.483,,,13,76.9%,66.7%,8.24%,354.23%,RSI_BAND_DROP,4%,Fresh,85.7%,85.7%,11.57%,Early Edge
PRY.MI,Prysmian,stock,Revolut,Euro,BUY,IN_POS,98.78,49.54,47.56,-51.9%,Above Target,,18,18,4.02%,ON,VALID,OFF,,Lower Quartile,2,78.6%,60.8,52.4,-0.131,0.269,,,53,73.6%,63.6%,5.42%,7528.91%,BACKTEST_END,221%,Late,63.6%,12.7%,4.10%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,BUY,ARMED,82.72,113.44,108.90,31.7%,Attractive,⭐⭐⭐,95,95,1.00%,ON,VALID,OPEN,83.02,Extended,0,66.7%,51.4,66.1,0.358,0.239,,,53,75.5%,80.0%,3.44%,1105.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,6%,Fresh,100.0%,100.0%,8.33%,Early Edge
WDH.F,Demant,stock,Revolut,Euro,BUY,IN_POS,12.60,16.96,16.28,29.2%,Attractive,⭐⭐⭐,90,90,3.28%,ON,VALID,OPEN,,Normal Range,1,100.0%,41.0,52.7,0.037,0.050,,,8,87.5%,87.5%,1.56%,63.26%,HARD_STOP_FROM_ENTRY,7%,Fresh,83.3%,83.3%,4.88%,Early Edge
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,PRIMED,PRIMED,36.15,,,,No Target,⭐⭐,7,7,,,PRIMED,,,ETF Pullback,,76.4%,,40.7,,-0.083,3.2x [strong],,60,76.4%,76.4%,12.74%,11.05%,"drawdown_macd_turn, rsi14=40.69, rsi_sup=56.61, dd20=0.066, dd_th=0.020, bullish_day, macd_improving, awaiting_macd_cross",,,,,,
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,PRIMED,PRIMED,105.76,,,,No Target,⭐⭐⭐,8,8,,,PRIMED,,,ETF Pullback,,83.0%,,40.9,,-0.265,2.92x [strong],,58,83.0%,83.0%,15.59%,14.39%,"drawdown_macd_turn, rsi14=40.91, rsi_sup=56.82, dd20=0.064, dd_th=0.022, bullish_day, macd_improving, awaiting_macd_cross",,,,,,
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,107.68,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,77.8%,,32.5,,-0.415,2.65x [strong],"drawdown_macd_turn, rsi14=32.46, rsi_sup=58.99, dd20=0.052, dd_th=0.020, bullish_day",22,77.8%,77.8%,13.82%,16.59%,"drawdown_macd_turn, rsi14=32.46, rsi_sup=58.99, dd20=0.052, dd_th=0.020, bullish_day",,,,,,
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,WATCH,IN_POS,0.93,0.98,0.94,0.9%,Near Target,,9,9,-0.21%,ON,NO,OFF,,Lower Quartile,-2,20.0%,54.4,48.3,-0.001,-0.000,,Lower-low still forming (price still breaking down),17,47.1%,54.5%,0.00%,17.51%,BACKTEST_END,104%,Late,54.5%,10.9%,0.47%,Exhausted
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,432.38,636.28,610.83,41.3%,Attractive,⭐⭐⭐,87,87,0.78%,ON,NO,OFF,,Lower Quartile,0,63.6%,39.5,46.6,2.235,0.062,,,42,78.6%,63.6%,8.11%,3567.71%,HARD_STOP_FROM_ENTRY,3%,Fresh,75.0%,75.0%,7.28%,Early Edge
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,24.65,28.94,27.78,12.7%,Moderate,,27,27,1.73%,ON,NO,OFF,,Extended,0,50.0%,85.0,71.7,0.211,-0.010,,,48,58.3%,72.7%,3.19%,1330.36%,BACKTEST_END,221%,Late,72.7%,14.5%,13.55%,Exhausted
ROP,Roper Technologies,stock,Revolut,USD,WATCH,IN_POS,353.86,460.58,442.16,25.0%,Attractive,,19,19,0.54%,ON,NO,OFF,,Lower Quartile,2,72.7%,38.8,50.5,1.762,0.475,,,42,66.7%,44.4%,3.29%,949.10%,BACKTEST_END,63%,Mature,44.4%,28.9%,-1.18%,Late Risk
SCR.PA,SCOR SE,stock,Revolut,Euro,WATCH,IN_POS,30.56,3.30,3.17,-89.6%,Above Target,,18,18,0.33%,ON,NO,OPEN,,Normal Range,2,72.0%,59.0,55.9,0.048,-0.005,,,53,67.9%,85.7%,3.20%,1984.07%,BACKTEST_END,255%,Late,68.6%,13.7%,7.09%,Exhausted
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,130.30,102.45,98.35,-24.5%,Above Target,,27,27,2.20%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,57.9,54.2,-0.050,0.319,,,19,73.7%,75.0%,6.09%,498.21%,TRAILING_STOP,305%,Late,75.0%,15.0%,11.98%,Exhausted
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.45,34.82,33.43,63.5%,Attractive,⭐,51,51,1.34%,OFF,NO,OFF,,Limited history,0,,39.9,42.9,-0.050,-0.046,,,3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,55%,Mature,100.0%,65.0%,5.04%,Mid OK
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,60.82,94.75,90.96,49.6%,Attractive,,25,25,-1.68%,OFF,NO,OFF,,Limited history,0,,25.9,40.6,0.145,0.042,,Lower-low still forming (price still breaking down),0,,,,,Insufficient history,,Limited history,,,,Limited history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,9.16,13.40,12.86,40.4%,Attractive,,16,16,2.92%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,30.3,34.1,-0.102,0.067,,,13,69.2%,69.2%,2.17%,51.53%,HARD_STOP_FROM_ENTRY,241%,Late,69.2%,13.8%,2.17%,Exhausted
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,253.79,218.79,210.04,-17.2%,Above Target,,16,16,2.90%,OFF,NO,OFF,,Lower Quartile,2,81.8%,48.7,47.4,0.135,0.450,,,42,71.4%,58.3%,11.10%,10242.81%,TRAILING_STOP,76%,Late,58.3%,23.3%,3.50%,Late Risk
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.62,50.04,48.04,18.3%,Moderate,,18,18,1.42%,OFF,NO,OFF,,Lower Quartile,2,71.4%,37.9,39.6,-0.243,0.082,,,53,67.9%,88.9%,4.97%,2840.07%,TRAILING_STOP,388%,Late,88.9%,17.8%,13.59%,Exhausted
