Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason
INTU,Intuit,stock,Revolut,USD,BLOCKED,IN_POS,455.56,636.28,610.83,34.1%,Attractive,⭐⭐⭐,11,0.07%,ON,VALID,OPEN,,Lower Quartile,0,54.5%,41.3,52.5,4.004,0.870,Lower-low still forming (price still breaking down),41,80.5%,70.0%,8.42%,3560.00%,BACKTEST_END
REP.MC,Repsol,stock,Revolut,Euro,IN_POS,IN_POS,24.00,28.94,27.78,15.8%,Moderate,⭐,3,-1.07%,ON,NO,OFF,,Extended,0,50.0%,85.7,76.9,0.356,-0.035,Lower-low still forming (price still breaking down),48,58.3%,72.7%,3.04%,1172.44%,BACKTEST_END
ROP,Roper Technologies,stock,Revolut,USD,IN_POS,IN_POS,353.68,460.58,442.16,25.0%,Attractive,⭐⭐⭐,10,0.12%,ON,VALID,OFF,,Lower Quartile,1,72.7%,36.7,48.0,1.694,0.287,,42,66.7%,44.4%,2.65%,842.99%,BACKTEST_END
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WATCH,IN_POS,22.65,34.82,33.43,47.6%,Attractive,⭐⭐,7,0.00%,ON,NO,OPEN,,Limited history,0,,45.9,55.8,0.096,0.019,,3,100.0%,100.0%,9.15%,26.07%,BACKTEST_END
ADSK,Autodesk,stock,Revolut,USD,WATCH,IN_POS,247.99,315.66,303.03,22.2%,Attractive,⭐⭐⭐,12,0.14%,ON,NO,OPEN,,Lower Quartile,0,66.7%,43.6,48.9,0.513,-0.214,Lower-low still forming (price still breaking down),57,66.7%,75.0%,5.20%,4061.07%,BACKTEST_END
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,WATCH,IN_POS,0.94,0.98,0.94,0.1%,Near Target,⭐,3,0.00%,ON,VALID,OFF,,Normal Range,0,57.1%,57.3,52.5,0.000,0.000,Lower-low still forming (price still breaking down),15,46.7%,60.0%,-0.62%,10.49%,BACKTEST_END
CA.PA,CA,stock,Revolut,Euro,WATCH,IN_POS,15.05,20.28,19.47,29.4%,Attractive,⭐⭐⭐,14,-1.28%,ON,NO,OFF,,Lower Quartile,1,81.2%,59.6,44.4,-0.015,-0.041,Lower-low still forming (price still breaking down),61,70.5%,86.7%,2.58%,1246.34%,BACKTEST_END
EVK.DE,Evonik,stock,Revolut,Euro,WATCH,IN_POS,13.66,17.13,16.44,20.4%,Attractive,⭐⭐⭐,10,-2.01%,ON,NO,OFF,,Lower Quartile,0,50.0%,45.3,40.2,0.001,-0.044,Lower-low still forming (price still breaking down),45,62.2%,61.5%,1.86%,658.85%,BACKTEST_END
FISV,Fiserv,stock,Revolut,USD,WATCH,IN_POS,57.07,96.40,92.54,62.2%,Attractive,⭐⭐⭐,9,0.09%,ON,NO,OFF,,Lower Quartile,0,66.7%,27.7,39.0,0.345,-0.016,,45,77.8%,57.1%,7.59%,1762.02%,BACKTEST_END
MEL.MC,Melia Hotels,stock,Revolut,Euro,WATCH,IN_POS,8.78,11.15,10.70,21.9%,Attractive,⭐⭐⭐,10,-2.44%,ON,NO,OFF,,Normal Range,0,59.1%,70.0,59.2,0.065,-0.011,Lower-low still forming (price still breaking down),44,68.2%,81.8%,3.86%,2029.80%,BACKTEST_END
