Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
1T4.F,Torm,stock,Revolut,Euro,BUY,IN_POS,23.87,27.95,26.83,12.4%,Moderate,⭐⭐,68,68,1.57%,ON,VALID,OFF,,Normal Range,1,69.6%,64.3,55.7,0.057,0.028,,,47,70.2%,60.0%,7.93%,41668407.12%,BACKTEST_END,38%,Mid,76.0%,64.6%,9.50%,Mid OK
AKE.PA,Arkema,stock,Revolut,Euro,BUY,IN_POS,58.30,65.36,62.75,7.6%,Near Target,⭐⭐,76,76,0.17%,ON,VALID,OPEN,,Normal Range,0,57.1%,52.9,57.1,0.256,0.302,,,45,62.2%,72.7%,2.04%,1684.32%,BACKTEST_END,16%,Fresh,75.0%,75.0%,6.89%,Early Edge
AKE.PA,AKE,stock,Revolut,Euro,BUY,IN_POS,58.30,65.34,62.73,7.6%,Near Target,⭐⭐,76,76,0.17%,ON,VALID,OPEN,,Normal Range,0,57.1%,52.9,57.1,0.256,0.302,,,45,62.2%,72.7%,2.04%,1684.32%,BACKTEST_END,16%,Fresh,75.0%,75.0%,6.89%,Early Edge
CA.PA,CA,stock,Revolut,Euro,BUY,IN_POS,15.62,20.28,19.47,24.6%,Attractive,,24,24,1.89%,ON,VALID,OFF,,Normal Range,1,79.3%,62.5,55.7,0.007,0.014,,,61,77.0%,100.0%,2.46%,1708.41%,BACKTEST_END,83%,Late,100.0%,40.0%,3.53%,Late Risk
EVK.DE,Evonik,stock,Revolut,Euro,BUY,IN_POS,16.72,17.13,16.44,-1.6%,Above Target,⭐,48,48,1.77%,ON,VALID,OFF,,Extended,0,50.0%,61.5,72.9,0.184,0.122,,,46,63.0%,69.2%,2.52%,910.13%,BACKTEST_END,36%,Mid,69.2%,58.8%,5.11%,Mid OK
GNN.F,GN Store Nord,stock,Revolut,Euro,BUY,IN_POS,12.79,16.28,15.63,22.2%,Attractive,⭐,59,59,1.75%,ON,VALID,OPEN,,Lower Quartile,1,75.0%,45.4,50.3,0.027,0.017,,,48,75.0%,71.4%,5.16%,8264.18%,BACKTEST_END,36%,Mid,77.1%,65.5%,2.40%,Mid OK
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,ARMED,3.10,3.94,3.78,22.2%,Attractive,⭐⭐⭐,87,87,3.37%,ON,VALID,OFF,3.14,Normal Range,0,55.6%,36.7,51.5,0.017,0.016,,,19,63.2%,66.7%,3.85%,120.91%,HARD_STOP_FROM_ENTRY,3%,Fresh,70.0%,70.0%,4.30%,Early Edge
WDH.F,Demant,stock,Revolut,Euro,BUY,ARMED,12.20,34.35,32.98,170.3%,Attractive,⭐⭐⭐,90,90,-2.40%,ON,VALID,OFF,12.50,Lower Quartile,0,100.0%,38.6,47.7,0.005,0.020,,,8,87.5%,87.5%,1.56%,63.26%,HARD_STOP_FROM_ENTRY,4%,Fresh,83.3%,83.3%,4.88%,Early Edge
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,PRIMED,PRIMED,36.15,,,,No Target,⭐⭐,7,7,,,PRIMED,,,ETF Pullback,,76.4%,,40.7,,-0.083,3.2x [strong],,60,76.4%,76.4%,12.74%,11.05%,"drawdown_macd_turn, rsi14=40.69, rsi_sup=56.61, dd20=0.066, dd_th=0.020, bullish_day, macd_improving, awaiting_macd_cross",,,,,,
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,PRIMED,PRIMED,105.76,,,,No Target,⭐⭐⭐,8,8,,,PRIMED,,,ETF Pullback,,83.0%,,40.9,,-0.265,2.92x [strong],,58,83.0%,83.0%,15.59%,14.39%,"drawdown_macd_turn, rsi14=40.91, rsi_sup=56.82, dd20=0.064, dd_th=0.022, bullish_day, macd_improving, awaiting_macd_cross",,,,,,
