Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
AMD,AMD,stock,Revolut,USD,BUY,IN_POS,221.53,225.27,216.26,-2.4%,Above Target,⭐,59,59,0.61%,ON,VALID,OFF,,Normal Range,1,63.2%,56.3,59.7,1.301,0.937,,,41,70.7%,88.9%,11.18%,479359.75%,BACKTEST_END,S2_HOLD12_BUF,2Y,51.1%,22.9%,OK,,41%,Mid,93.3%,79.3%,13.93%,Mid OK
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,272.00,332.48,319.18,17.3%,Moderate,,24,24,0.82%,ON,VALID,OPEN,,Extended,0,62.5%,58.9,65.0,1.281,0.454,,,46,73.9%,88.9%,4.01%,2541.04%,BACKTEST_END,S2_HOLD12_BUF,2Y,14.4%,7.0%,BROKEN,YES,104%,Late,88.9%,17.8%,4.09%,Exhausted
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,BUY,BUY,36.74,,,,No Target,⭐⭐⭐,9,9,,,BUY,,,ETF Pullback,,71.9%,,47.5,,0.113,1.12x [mild],,63,71.9%,71.9%,11.90%,10.11%,"drawdown_macd_turn, rsi14=47.51, rsi_sup=56.40, dd20=0.023, dd_th=0.021, macd_improving, buy_window_open",,,,,,,,,,,,
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,9.89,13.47,12.93,30.8%,Attractive,,16,16,-0.70%,ON,VALID,OFF,,Extended,1,75.0%,77.6,72.6,0.102,0.004,,,41,68.3%,80.0%,2.92%,2600.39%,BACKTEST_END,S4_WIDEATR,2Y,62.8%,27.6%,OK,,118%,Late,64.0%,12.8%,3.16%,Exhausted
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.29,4.05,3.89,18.3%,Moderate,,27,27,-0.48%,ON,VALID,OPEN,,Normal Range,0,54.5%,41.4,59.4,0.033,0.015,,,23,65.2%,66.7%,2.31%,147.62%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,-32.5%,-17.9%,BROKEN,YES,37%,Mid,46.7%,39.7%,-0.69%,Late Risk
PRY.MI,Prysmian,stock,Revolut,Euro,BUY,IN_POS,104.75,99.00,95.04,-9.3%,Above Target,,9,9,0.05%,ON,VALID,OPEN,,Extended,0,33.3%,65.7,61.2,0.341,0.425,,,53,69.8%,55.6%,4.01%,8006.66%,BACKTEST_END,S2_HOLD12_BUF,2Y,154.4%,59.5%,OK,,238%,Late,55.6%,11.1%,1.61%,Exhausted
SCR.PA,SCOR SE,stock,Revolut,Euro,BUY,IN_POS,31.24,3.36,3.23,-89.7%,Above Target,,13,13,1.03%,ON,VALID,OPEN,,Extended,2,75.0%,60.4,62.6,0.077,0.036,,,60,76.7%,88.9%,3.87%,2991.22%,BACKTEST_END,S1_FAST,2Y,33.8%,15.7%,OK,,206%,Late,91.1%,18.2%,6.82%,Exhausted
TEF.MC,Telefonica,stock,Revolut,Euro,BUY,IN_POS,3.88,4.79,4.60,18.5%,Moderate,,29,29,0.65%,ON,VALID,OPEN,,Extended,-1,37.5%,52.5,65.2,0.027,0.009,,,48,60.4%,63.6%,2.99%,518.33%,BACKTEST_END,S5_COMBO,2Y,22.2%,10.5%,BROKEN,YES,116%,Late,63.6%,12.7%,6.39%,Exhausted
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,BUY,BUY,107.56,,,,No Target,⭐⭐⭐,10,10,,,BUY,,,ETF Pullback,,80.7%,,47.8,,0.326,1.05x [mild],,62,80.7%,80.7%,15.12%,13.18%,"drawdown_macd_turn, rsi14=47.81, rsi_sup=56.72, dd20=0.023, dd_th=0.022, macd_improving, buy_window_open",,,,,,,,,,,,
0B2.F,Bawag,stock,Revolut,Euro,BLOCKED,IN_POS,131.20,107.02,102.74,-21.7%,Above Target,⭐⭐⭐,85,85,-0.68%,ON,VALID,OPEN,,Lower Quartile,2,83.3%,59.5,54.5,0.093,0.149,,Volatility still expanding on down closes (ATR rising),21,71.4%,70.0%,6.24%,1039.40%,BACKTEST_END,S3_HOLD16,2Y,124.8%,49.9%,OK,,17%,Fresh,87.5%,87.5%,18.76%,Early Edge
