Ticker,Platform,Quantity,Currency,Net Cost,Price,1D %,Golden,Silver,Exit Signal,Status,Name,Target Price,Prudent Target,Prudent Upside %,P/L %,Exit Reason,Urgency,Conflict
PRY.MI,revolut,5.2815,EUR,€500.00,115.60,0.52%,ON,VALID,BACKTEST_END,WATCH EXIT,Prysmian,99.00,95.04,-17.8%,22.1%,No active strategy signal,Medium,⚠ Trend vs Exit
WDH1.HA,revolut,19.1238,EUR,€500.00,25.62,1.26%,ON,NO,BACKTEST_END,WATCH EXIT,Dermant AS,33.70,32.35,26.3%,-2.0%,No active strategy signal,Medium,⚠ Trend vs Exit
