Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,24.23,28.94,27.78,14.7%,Moderate,,27,27,0.66%,ON,NO,OFF,,Extended,0,50.0%,84.1,69.6,0.242,-0.035,,,48,58.3%,72.7%,3.19%,1305.99%,BACKTEST_END,217%,Late,72.7%,14.5%,13.55%,Exhausted
SCR.PA,SCOR SE,stock,Revolut,Euro,WATCH,IN_POS,30.46,3.30,3.17,-89.6%,Above Target,,18,18,0.79%,ON,NO,OPEN,,Normal Range,2,72.0%,57.5,54.9,0.036,-0.013,,Lower-low still forming (price still breaking down),53,67.9%,85.7%,3.20%,1977.25%,BACKTEST_END,250%,Late,68.6%,13.7%,6.80%,Exhausted
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,127.50,102.45,98.35,-22.9%,Above Target,,27,27,0.71%,OFF,NO,OFF,,Lower Quartile,2,80.0%,54.2,49.6,-0.383,0.113,,Lower-low still forming (price still breaking down),19,73.7%,75.0%,6.09%,498.21%,TRAILING_STOP,300%,Late,75.0%,15.0%,11.98%,Exhausted
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.18,34.82,33.43,65.6%,Attractive,⭐⭐,64,64,-0.05%,OFF,NO,OFF,,Limited history,0,,38.8,40.6,-0.108,-0.089,,Lower-low still forming (price still breaking down),3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,50%,Mid,100.0%,85.0%,4.49%,Mid OK
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,61.86,94.75,90.96,47.0%,Attractive,,25,25,0.16%,OFF,NO,OFF,,Limited history,0,,26.4,43.2,0.100,0.132,,,0,,,,,Insufficient history,,Limited history,,,,Limited history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,8.97,13.40,12.86,43.4%,Attractive,,16,16,1.93%,OFF,VALID,OFF,,Lower Quartile,1,75.0%,26.1,29.6,-0.177,0.051,,Lower-low still forming (price still breaking down),13,69.2%,69.2%,2.17%,51.53%,HARD_STOP_FROM_ENTRY,238%,Late,69.2%,13.8%,2.17%,Exhausted
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,247.27,218.79,210.04,-15.1%,Above Target,,9,9,-0.61%,OFF,NO,OFF,,Lower Quartile,2,81.8%,45.5,36.2,-1.155,-0.159,,Lower-low still forming (price still breaking down),41,70.7%,54.5%,11.33%,9855.47%,TRAILING_STOP,105%,Late,54.5%,10.9%,2.17%,Exhausted
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.05,50.04,48.04,19.9%,Moderate,,18,18,-0.94%,OFF,NO,OFF,,Lower Quartile,2,71.4%,37.3,36.1,-0.339,0.023,,Lower-low still forming (price still breaking down),53,67.9%,88.9%,4.97%,2840.07%,TRAILING_STOP,383%,Late,88.9%,17.8%,13.59%,Exhausted
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,242.37,389.47,373.89,54.3%,Attractive,⭐,46,46,3.21%,OFF,NO,OFF,,Lower Quartile,2,90.0%,32.3,38.7,-0.143,0.356,,Strong downtrend (ADX high & rising; -DI dominant),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP,62%,Mature,89.1%,57.9%,3.05%,Mid OK
ADSK,Autodesk,stock,Revolut,USD,WAIT,WAIT,237.82,315.66,303.03,27.4%,Attractive,⭐,50,50,3.47%,OFF,NO,OFF,,Lower Quartile,1,66.7%,41.0,43.8,0.014,-0.174,,,57,68.4%,75.0%,6.11%,5226.18%,TRAILING_STOP,62%,Mature,75.0%,48.8%,3.34%,Mid OK
