Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,BUY,109.15,,,,No Target,⭐⭐⭐,11,11,,,BUY,,,ETF Pullback,,81.8%,,43.4,,-0.038,1.58x [moderate],"drawdown_macd_turn, rsi14=43.42, rsi_sup=58.79, dd20=0.032, dd_th=0.020, macd_improving, buy_window_open",26,81.8%,81.8%,13.82%,15.96%,"drawdown_macd_turn, rsi14=43.42, rsi_sup=58.79, dd20=0.032, dd_th=0.020, macd_improving, buy_window_open",,,,,,,,,,,,
AKE.PA,Arkema,stock,Revolut,Euro,WATCH,IN_POS,59.55,62.11,59.63,0.1%,Near Target,,16,16,3.30%,ON,NO,OPEN,,Normal Range,1,70.0%,52.7,59.3,0.241,0.186,,,60,70.0%,61.5%,2.65%,2613.55%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,44.5%,20.2%,OK,,61%,Mature,36.9%,24.0%,1.20%,Late Risk
BPCR.L,Quilter,stock,Moneybase,GBP,WATCH,IN_POS,0.93,2.22,2.13,128.2%,Attractive,,20,20,0.43%,ON,NO,OFF,,Lower Quartile,-2,20.0%,53.7,49.7,-0.001,-0.000,,,19,52.6%,61.5%,0.47%,28.74%,BACKTEST_END,S6_TIGHT,2Y,20.6%,9.8%,BROKEN,YES,92%,Late,61.5%,12.3%,0.70%,Late Risk
CRM,Salesforce Inc,stock,Revolut,USD,WATCH,ARMED,176.37,194.00,186.24,5.6%,Near Target,⭐,60,60,-3.60%,ON,NO,OFF,188.50,Lower Quartile,2,75.0%,38.2,35.2,0.477,-0.538,,Lower-low still forming (price still breaking down),47,66.0%,71.4%,3.18%,3848.85%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,2Y,53.0%,23.7%,OK,,18%,Fresh,66.7%,66.7%,6.01%,Mid OK
EVK.DE,Evonik,stock,Revolut,Euro,WATCH,IN_POS,16.83,8.35,8.02,-52.4%,Above Target,,26,26,1.57%,ON,NO,OFF,,Extended,0,66.7%,60.8,70.2,0.172,0.045,,,49,71.4%,71.4%,4.40%,1352.70%,BACKTEST_END,S1_FAST,2Y,121.4%,48.8%,OK,,86%,Late,71.4%,14.3%,6.28%,Late Risk
FISV,Fiserv,stock,Revolut,USD,WATCH,WATCH,56.63,93.03,89.31,57.7%,Attractive,⭐,56,56,2.37%,ON,NO,OFF,,Lower Quartile,0,66.7%,30.1,46.2,0.384,0.145,,,58,77.6%,83.3%,4.78%,3101.10%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,49.7%,22.3%,OK,,69%,Mature,83.3%,54.1%,10.48%,Mid OK
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,389.51,619.95,595.15,52.8%,Attractive,⭐⭐,71,71,-5.05%,ON,NO,OFF,,Lower Quartile,0,44.4%,37.5,33.5,1.446,-2.411,,Lower-low still forming (price still breaking down),33,72.7%,55.6%,11.70%,2750.67%,HARD_STOP_FROM_ENTRY,S5_COMBO_BUF,2Y,51.2%,23.0%,OK,,14%,Fresh,62.5%,62.5%,6.89%,Mid OK
ORCL,Oracle,stock,Revolut,USD,WATCH,ARMED,143.66,175.86,168.83,17.5%,Moderate,⭐⭐⭐,96,96,0.34%,ON,NO,OFF,153.90,Lower Quartile,1,78.6%,39.6,43.1,0.684,0.054,,,53,73.6%,90.0%,5.92%,4070.49%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12_BUF,2Y,230.8%,81.9%,OK,,20%,Fresh,100.0%,100.0%,15.52%,Early Edge
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,22.57,29.61,28.43,25.9%,Attractive,,25,25,-5.76%,ON,NO,OFF,,Lower Quartile,0,58.8%,84.4,50.6,0.181,-0.180,,Lower-low still forming (price still breaking down),66,65.2%,73.3%,1.84%,1632.00%,BACKTEST_END,S11_VOLATILE_FAST,2Y,191.7%,70.8%,OK,,348%,Late,73.3%,14.7%,6.02%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,WATCH,IN_POS,80.87,115.90,111.26,37.6%,Attractive,⭐,59,59,0.45%,ON,NO,OPEN,,Normal Range,1,71.9%,51.1,54.9,0.347,-0.047,,,64,79.7%,84.6%,3.10%,1635.86%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,48.5%,21.9%,OK,,36%,Mid,90.8%,77.2%,3.67%,Mid OK
