Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,4Y Strategy Return %,3Y Strategy Return %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
SCR.PA,SCOR SE,stock,Revolut,Euro,BLOCKED,IN_POS,30.92,3.36,3.23,-89.6%,Above Target,,23,23,0.78%,ON,VALID,OPEN,,Upper Quartile,1,83.3%,60.4,59.5,0.077,0.017,,Lower-low still forming (price still breaking down),50,68.0%,85.7%,3.60%,1287.13%,BACKTEST_END,S4_WIDEATR,4Y,49.4%,26.2%,OK,,231%,Late,68.6%,13.7%,8.14%,Exhausted
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,BUY,109.64,,,,No Target,⭐⭐⭐,11,11,,,BUY,,,ETF Pullback,,81.8%,,45.8,,-0.105,1.66x [moderate],"drawdown_macd_turn, rsi14=45.80, rsi_sup=58.88, dd20=0.033, dd_th=0.020, bullish_day, macd_improving, buy_window_open",26,81.8%,81.8%,13.82%,15.96%,"drawdown_macd_turn, rsi14=45.80, rsi_sup=58.88, dd20=0.033, dd_th=0.020, bullish_day, macd_improving, buy_window_open",,,,,,,,,,,,
AKE.PA,Arkema,stock,Revolut,Euro,WATCH,IN_POS,58.10,62.11,59.63,2.6%,Near Target,,38,38,-1.61%,ON,NO,OPEN,,Normal Range,0,64.5%,52.7,55.7,0.241,0.115,,,65,66.2%,66.7%,2.35%,2752.94%,BACKTEST_END,S11_VOLATILE_FAST,3Y,-5.9%,-0.7%,BROKEN,YES,54%,Mature,60.0%,39.0%,0.68%,Mid OK
BPCR.L,Quilter,stock,Moneybase,GBP,WATCH,IN_POS,0.93,2.22,2.13,129.2%,Attractive,,19,19,-1.06%,ON,NO,OFF,,Lower Quartile,-2,20.0%,53.7,47.3,-0.001,-0.001,,,17,41.2%,50.0%,-0.90%,5.23%,BACKTEST_END,S5_COMBO,4Y,3.1%,0.0%,OK,,56%,Mature,40.0%,26.0%,-0.51%,Late Risk
CRM,Salesforce Inc,stock,Revolut,USD,WATCH,ARMED,185.03,194.00,186.24,0.7%,Near Target,,43,43,-1.15%,ON,NO,OFF,188.50,Lower Quartile,1,69.2%,38.2,42.6,0.477,0.066,,,52,57.7%,50.0%,1.45%,5697.15%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S3_HOLD16_BUF,4Y,13.1%,-10.5%,OK,,23%,Fresh,55.6%,55.6%,1.23%,Mid OK
FISV,Fiserv,stock,Revolut,USD,WATCH,WATCH,56.32,93.03,89.31,58.6%,Attractive,⭐,56,56,0.28%,ON,NO,OFF,,Lower Quartile,0,64.3%,30.1,43.6,0.384,0.121,,,54,79.6%,83.3%,5.61%,2554.64%,TRAILING_STOP,S8_DI_GUARD,4Y,38.1%,-14.0%,OK,,63%,Mature,83.3%,54.1%,9.68%,Mid OK
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,417.36,619.95,595.15,42.6%,Attractive,⭐⭐⭐,87,87,-1.21%,ON,NO,OFF,,Lower Quartile,1,61.5%,37.5,41.6,1.446,-0.755,,Lower-low still forming (price still breaking down),50,80.0%,61.5%,6.22%,4530.13%,HARD_STOP_FROM_ENTRY,S1_FAST,3Y,-0.9%,7.7%,OK,,18%,Fresh,77.8%,77.8%,5.03%,Early Edge
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,WATCH,WAIT,37.13,,,,No Target,⭐,4,4,,,NO,,,ETF Pullback,,71.9%,,51.4,,0.104,0.63x [mild],"drawdown_macd_turn, rsi14=51.37, rsi_sup=56.41, dd20=0.013, dd_th=0.021, macd_improving",63,71.9%,71.9%,11.90%,10.11%,"drawdown_macd_turn, rsi14=51.37, rsi_sup=56.41, dd20=0.013, dd_th=0.021, macd_improving",,,,,,,,,,,,
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,24.27,29.61,28.43,17.1%,Moderate,,27,27,3.90%,ON,NO,OFF,,Upper Quartile,2,75.0%,84.4,63.7,0.181,-0.041,,,48,58.3%,72.7%,3.19%,1308.31%,BACKTEST_END,S0_BASE,4Y,107.2%,96.2%,OK,,236%,Late,72.7%,14.5%,13.55%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,WATCH,WATCH,82.58,115.90,111.26,34.7%,Attractive,⭐⭐⭐,91,91,-0.35%,ON,NO,OPEN,,Upper Quartile,0,50.0%,51.1,64.7,0.347,0.118,,Lower-low still forming (price still breaking down),47,76.6%,87.5%,3.13%,544.73%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,3Y,-8.9%,-7.1%,BROKEN,YES,23%,Fresh,100.0%,100.0%,8.81%,Early Edge
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,WATCH,WAIT,108.72,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,80.7%,,51.8,,0.295,0.58x [mild],"drawdown_macd_turn, rsi14=51.84, rsi_sup=56.72, dd20=0.013, dd_th=0.022, macd_improving",62,80.7%,80.7%,15.12%,13.18%,"drawdown_macd_turn, rsi14=51.84, rsi_sup=56.72, dd20=0.013, dd_th=0.022, macd_improving",,,,,,,,,,,,
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.45,34.82,33.43,63.5%,Attractive,⭐,51,51,0.00%,OFF,NO,OFF,,Limited history,0,,39.9,42.9,-0.050,-0.023,,,3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,S0_BASE,4Y,-17.0%,-17.0%,BROKEN,YES,69%,Mature,100.0%,65.0%,5.04%,Mid OK
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,258.86,14.87,14.28,-94.5%,Above Target,,16,16,1.15%,OFF,VALID,OFF,,Normal Range,2,73.7%,50.2,54.4,0.304,0.636,,,39,71.8%,54.5%,10.86%,10172.02%,TRAILING_STOP,S3_HOLD16,4Y,13.1%,-7.2%,OK,,82%,Late,54.5%,21.8%,2.17%,Late Risk
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,244.35,387.28,371.79,52.2%,Attractive,,20,20,0.59%,OFF,VALID,OFF,,Lower Quartile,2,81.8%,32.6,41.6,-0.099,0.588,,,41,75.6%,76.9%,5.15%,1581.25%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,4Y,-24.8%,-25.2%,BROKEN,YES,102%,Late,76.9%,15.4%,2.95%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.14,13.81,13.26,45.1%,Attractive,,20,20,-1.89%,OFF,NO,OFF,,Lower Quartile,1,77.8%,24.9,35.8,-0.084,0.053,,Lower-low still forming (price still breaking down),36,75.0%,75.0%,3.69%,2409.27%,HARD_STOP_FROM_ENTRY,S5_COMBO,4Y,-47.9%,-49.3%,BROKEN,YES,165%,Late,75.0%,15.0%,0.99%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.54,65.74,63.11,27.4%,Attractive,,10,10,0.47%,OFF,VALID,OFF,,Lower Quartile,1,80.0%,33.1,44.1,0.005,0.048,,Lower-low still forming (price still breaking down),39,76.9%,83.3%,3.15%,832.16%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S4_WIDEATR,4Y,13.3%,-11.4%,OK,,146%,Late,83.3%,16.7%,12.84%,Exhausted
BKNG,Booking,stock,Revolut,USD,WAIT,WAIT,176.19,5066.00,4863.36,2660.3%,Attractive,,19,19,5.02%,OFF,VALID,OFF,,Lower Quartile,0,53.8%,44.8,11.8,-55.449,32.536,,Strong downtrend (ADX high & rising; -DI dominant),49,61.2%,71.4%,2.25%,4315.58%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12,4Y,48.2%,11.0%,OK,,234%,Late,71.4%,14.3%,12.01%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.23,10.37,9.96,21.0%,Attractive,,17,17,-1.73%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,40.0,41.5,-0.066,0.034,,,46,67.4%,55.6%,4.43%,3053.19%,RSI_BAND_DROP,S12_RECOVERY,3Y,5.8%,11.4%,OK,,188%,Late,55.6%,11.1%,4.97%,Exhausted
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,102.85,156.16,149.91,45.8%,Attractive,,16,16,1.23%,OFF,VALID,OFF,,Lower Quartile,0,60.0%,36.8,48.2,-0.114,0.462,,,38,76.3%,60.0%,3.07%,1385.70%,RSI_BAND_DROP,S5_COMBO,4Y,11.4%,9.3%,OK,,302%,Late,60.0%,12.0%,1.78%,Exhausted
CTEC.L,BioPharma Credit,stock,Moneybase,GBP,WAIT,WAIT,2.20,0.91,0.87,-60.3%,Above Target,,18,18,0.18%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,41.7,41.4,-0.721,0.110,,,20,90.0%,90.0%,3.05%,321.00%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,4Y,27.8%,14.9%,OK,,77%,Late,90.0%,36.0%,2.83%,Late Risk
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,31.50,37.54,36.04,14.4%,Moderate,,20,20,0.51%,OFF,VALID,OFF,,Lower Quartile,2,91.7%,42.0,43.7,-0.264,0.203,,,48,70.8%,70.0%,4.35%,7965.76%,TRAILING_STOP,S6_TIGHT,4Y,21.2%,11.7%,OK,,263%,Late,56.0%,11.2%,1.89%,Exhausted
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,17.62,25.75,24.72,40.3%,Attractive,,20,20,0.57%,OFF,VALID,OFF,,Lower Quartile,1,83.3%,29.9,46.4,0.038,0.068,,,48,81.2%,75.0%,5.09%,2334.77%,TRAILING_STOP,S1_FAST,3Y,-15.6%,-9.5%,BROKEN,YES,303%,Late,75.0%,15.0%,2.99%,Exhausted
