Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,4Y Strategy Return %,3Y Strategy Return %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,125.73,174.47,167.49,33.2%,Attractive,,42,42,-0.84%,OFF,NO,OFF,,Lower Quartile,2,81.8%,30.3,32.2,-0.214,0.010,,Lower-low still forming (price still breaking down),41,73.2%,58.3%,3.81%,4565.47%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,4Y,28.8%,-15.8%,OK,,60%,Mature,58.3%,37.9%,3.09%,Mid OK
REY.MI,Reply,stock,Revolut,Euro,WAIT,WAIT,82.05,125.55,120.53,46.9%,Attractive,,3,3,0.18%,OFF,VALID,OFF,,Lower Quartile,-1,25.0%,29.8,43.3,-0.119,0.375,,,32,53.1%,14.3%,0.99%,5324.05%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,4Y,25.3%,-17.5%,OK,,90%,Late,14.3%,2.9%,-3.25%,Exhausted
RI.PA,RI,stock,Revolut,Euro,WAIT,WAIT,63.02,77.45,74.35,18.0%,Moderate,,24,24,-0.88%,OFF,NO,OFF,,Lower Quartile,2,94.1%,30.1,36.3,-0.499,0.077,,Strong downtrend (ADX high & rising; -DI dominant),65,72.3%,69.2%,3.59%,1166.45%,TRAILING_STOP,S11_VOLATILE_FAST,4Y,-14.1%,-18.2%,BROKEN,YES,405%,Late,69.2%,13.8%,0.73%,Exhausted
SAP.DE,SAP,stock,Revolut,Euro,WAIT,WAIT,148.90,183.99,176.63,18.6%,Moderate,,34,34,0.03%,OFF,VALID,OFF,,Lower Quartile,2,75.0%,25.4,34.8,-0.501,0.324,,Lower-low still forming (price still breaking down),48,72.9%,75.0%,4.03%,3443.55%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12_BUF,4Y,69.9%,11.6%,OK,,314%,Late,60.0%,12.0%,9.51%,Exhausted
SGO.PA,SGO,stock,Revolut,Euro,WAIT,WAIT,70.52,90.92,87.28,23.8%,Attractive,,16,16,-2.30%,OFF,VALID,OFF,,Lower Quartile,0,61.5%,33.2,38.9,-0.337,0.173,,,52,65.4%,66.7%,1.92%,925.94%,HARD_STOP_FROM_ENTRY,S4_WIDEATR,4Y,44.1%,-3.6%,OK,,136%,Late,66.7%,13.3%,3.58%,Exhausted
SHL.DE,Siemens Healthineers,stock,Revolut,Euro,WAIT,WAIT,35.99,43.58,41.84,16.2%,Moderate,,28,28,-1.10%,OFF,NO,OFF,,Lower Quartile,1,85.7%,28.6,28.2,-0.187,0.025,,Lower-low still forming (price still breaking down),26,76.9%,76.9%,2.54%,200.36%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12_BUF,4Y,-4.2%,-9.8%,BROKEN,YES,123%,Late,76.9%,15.4%,1.38%,Exhausted
SPI.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,1.45,10.37,9.96,586.6%,Attractive,,20,20,-1.36%,OFF,NO,OFF,,Lower Quartile,0,50.0%,31.3,31.3,-2.556,0.029,,Lower-low still forming (price still breaking down),32,46.9%,77.8%,-0.25%,112.32%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,4Y,22.0%,10.4%,OK,,113%,Late,77.8%,15.6%,2.05%,Exhausted
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.82,2.32,2.23,22.0%,Attractive,,3,3,-0.44%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,51.3,51.4,-0.353,0.630,,,34,58.8%,41.7%,2.13%,831.12%,HARD_STOP_FROM_ENTRY,S5_COMBO_BUF,3Y,11.8%,14.7%,OK,,159%,Late,41.7%,8.3%,-0.80%,Exhausted
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,49.15,79.69,76.50,55.7%,Attractive,,3,3,-0.71%,OFF,NO,OFF,,Lower Quartile,1,55.6%,35.5,45.7,0.023,0.079,,Lower-low still forming (price still breaking down),34,64.7%,44.4%,4.05%,1119.23%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,3Y,-30.8%,-17.9%,BROKEN,YES,94%,Late,44.4%,8.9%,-1.17%,Exhausted
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,97.16,118.53,113.79,17.1%,Moderate,,19,19,-1.04%,OFF,NO,OFF,,Lower Quartile,1,90.9%,41.6,38.8,-0.392,0.149,,,42,83.3%,91.7%,3.24%,1120.22%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S12_RECOVERY,3Y,-13.8%,-3.0%,BROKEN,YES,245%,Late,93.3%,18.7%,2.46%,Exhausted
WDAY,Workday,stock,Revolut,USD,WAIT,WAIT,129.72,280.59,269.37,107.7%,Attractive,,16,16,-1.92%,OFF,NO,OFF,,Lower Quartile,2,100.0%,30.8,41.4,0.118,0.277,,,32,65.6%,60.0%,9.57%,1731.10%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S12_RECOVERY,4Y,-3.1%,-22.7%,BROKEN,YES,448%,Late,60.0%,12.0%,0.98%,Exhausted
XYZ,Block Inc,stock,Revolut,USD,WAIT,WAIT,60.68,71.62,68.76,13.3%,Moderate,,31,31,1.51%,OFF,NO,OFF,,Lower Quartile,1,57.1%,46.6,52.7,0.154,0.120,,,25,72.0%,75.0%,11.96%,3728.15%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,4Y,58.1%,11.6%,OK,,88%,Late,75.0%,15.0%,18.89%,Late Risk
KO,Coca-Cola Co,stock,Revolut,USD,EXIT NOW,WAIT,77.22,72.46,69.56,-9.9%,Above Target,,13,13,0.65%,OFF,VALID,OFF,,Normal Range,1,77.3%,55.3,54.6,-0.049,0.117,,,46,73.9%,66.7%,3.10%,560.06%,TRAILING_STOP,S2_HOLD12,4Y,53.4%,21.1%,OK,,157%,Late,66.7%,13.3%,3.73%,Exhausted
