Ticker,Platform,Quantity,Currency,Net Cost,Price,1D %,Golden,Silver,Exit Signal,Status,Name,Target Price,Prudent Target,Prudent Upside %,P/L %,Exit Reason,Urgency,Conflict
PRY.MI,revolut,5.2815,EUR,€500.00,119.80,3.63%,ON,VALID,BACKTEST_END,WATCH EXIT,Prysmian,99.00,95.04,-20.7%,26.5%,No active strategy signal,Medium,⚠ Trend vs Exit
WDH1.HA,revolut,19.1238,EUR,€500.00,26.36,4.85%,ON,VALID,BACKTEST_END,WATCH EXIT,Dermant AS,33.70,32.35,22.7%,0.8%,No active strategy signal,Medium,⚠ Trend vs Exit
