Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
0B2.F,Bawag,stock,Revolut,Euro,BUY,IN_POS,138.80,107.02,102.74,-26.0%,Above Target,⭐⭐⭐,81,81,5.79%,ON,VALID,OPEN,,Extended,0,50.0%,59.5,64.4,0.093,0.717,,,21,76.2%,80.0%,6.24%,1105.40%,BACKTEST_END,S3_HOLD16,2Y,306.7%,101.7%,OK,,21%,Fresh,87.5%,87.5%,18.76%,Early Edge
AKE.PA,Arkema,stock,Revolut,Euro,BUY,IN_POS,60.85,62.11,59.63,-2.0%,Above Target,,16,16,2.18%,ON,VALID,OPEN,,Upper Quartile,0,57.1%,52.7,62.4,0.241,0.242,,,60,70.0%,61.5%,2.65%,2672.79%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,44.5%,20.2%,OK,,64%,Mature,36.9%,24.0%,1.20%,Late Risk
AMD,AMD,stock,Revolut,USD,BUY,IN_POS,236.64,225.27,216.26,-8.6%,Above Target,,11,11,2.08%,ON,VALID,OFF,,Extended,2,77.8%,56.3,66.8,1.301,1.531,,,48,70.8%,83.3%,10.89%,601810.91%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,211.3%,76.4%,OK,,100%,Late,86.7%,17.3%,15.70%,Late Risk
BA,The Boeing Company,stock,Revolut,USD,BUY,IN_POS,220.06,161.69,155.22,-29.5%,Above Target,⭐⭐⭐,85,85,1.04%,ON,VALID,OPEN,,Normal Range,0,52.4%,51.9,58.1,0.416,1.310,,,45,60.0%,66.7%,3.38%,2524.88%,BACKTEST_END,S12_RECOVERY,2Y,135.3%,53.4%,OK,,17%,Fresh,83.3%,83.3%,23.58%,Early Edge
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,BUY,IN_POS,0.94,0.91,0.87,-7.1%,Above Target,,17,17,0.64%,ON,VALID,OFF,,Normal Range,0,55.6%,53.7,53.1,-0.001,0.000,,,19,52.6%,61.5%,0.47%,29.56%,BACKTEST_END,S6_TIGHT,2Y,20.6%,9.8%,BROKEN,YES,94%,Late,61.5%,12.3%,0.70%,Late Risk
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,272.00,332.48,319.18,17.3%,Moderate,,24,24,0.00%,ON,VALID,OPEN,,Extended,2,87.5%,58.9,65.0,1.281,0.306,,,62,83.9%,100.0%,3.89%,3116.74%,BACKTEST_END,S11_VOLATILE_FAST,2Y,59.8%,26.4%,OK,,114%,Late,100.0%,20.0%,5.25%,Exhausted
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,10.49,13.47,12.93,23.3%,Attractive,,16,16,4.27%,ON,VALID,OFF,,Extended,1,75.0%,77.6,79.4,0.102,0.038,,,41,68.3%,80.0%,2.92%,2764.21%,BACKTEST_END,S4_WIDEATR,2Y,134.5%,53.1%,OK,,122%,Late,64.0%,12.8%,3.16%,Exhausted
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.42,4.05,3.89,13.7%,Moderate,,27,27,2.46%,ON,VALID,OPEN,,Extended,1,100.0%,41.4,64.9,0.033,0.019,,,23,65.2%,66.7%,2.31%,157.72%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,28.6%,13.4%,OK,,45%,Mid,46.7%,39.7%,-0.18%,Late Risk
SCR.PA,SCOR SE,stock,Revolut,Euro,BUY,IN_POS,31.78,3.36,3.23,-89.9%,Above Target,,18,18,0.44%,ON,VALID,OPEN,,Extended,1,77.8%,60.4,67.2,0.077,0.050,,,60,76.7%,90.0%,3.43%,3489.63%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,112.5%,45.8%,OK,,191%,Late,90.0%,18.0%,11.28%,Exhausted
EVK.DE,Evonik,stock,Revolut,Euro,BLOCKED,IN_POS,16.77,8.35,8.02,-52.2%,Above Target,,26,26,-0.36%,ON,VALID,OFF,,Extended,0,66.7%,60.8,69.1,0.172,0.024,,Lower-low still forming (price still breaking down),49,71.4%,71.4%,4.40%,1347.52%,BACKTEST_END,S1_FAST,2Y,121.4%,48.8%,OK,,89%,Late,71.4%,14.3%,6.28%,Late Risk
