Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason
INTU,Intuit,stock,Revolut,USD,IN_POS,IN_POS,457.02,636.28,610.83,33.7%,Attractive,⭐⭐⭐,11,0.32%,ON,VALID,OPEN,,Lower Quartile,0,54.5%,41.6,53.0,3.790,0.802,,41,80.5%,70.0%,8.42%,3571.73%,BACKTEST_END
REP.MC,Repsol,stock,Revolut,Euro,IN_POS,IN_POS,22.69,28.94,27.78,22.4%,Attractive,⭐⭐⭐,9,-6.47%,ON,NO,OFF,,Normal Range,0,62.5%,73.9,62.6,0.132,-0.140,Lower-low still forming (price still breaking down),48,58.3%,72.7%,3.04%,1102.99%,BACKTEST_END
ROP,Roper Technologies,stock,Revolut,USD,IN_POS,IN_POS,353.48,460.58,442.16,25.1%,Attractive,⭐⭐⭐,10,-0.06%,ON,VALID,OFF,,Lower Quartile,1,72.7%,36.7,47.9,1.624,0.238,,42,66.7%,44.4%,2.65%,842.46%,BACKTEST_END
ZAL.DE,Zalando SE,stock,Revolut,Euro,IN_POS,IN_POS,21.22,34.87,33.48,57.8%,Attractive,⭐⭐⭐,11,-3.06%,ON,NO,OPEN,,Lower Quartile,2,75.0%,43.3,46.4,0.041,-0.096,Lower-low still forming (price still breaking down),30,66.7%,62.5%,8.36%,2442.45%,BACKTEST_END
ADSK,Autodesk,stock,Revolut,USD,WATCH,IN_POS,247.44,315.66,303.03,22.5%,Attractive,⭐⭐⭐,12,-0.22%,ON,NO,OPEN,,Lower Quartile,0,66.7%,43.3,48.3,0.462,-0.219,,57,66.7%,75.0%,5.20%,4051.85%,BACKTEST_END
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,WATCH,IN_POS,0.93,0.98,0.94,1.2%,Near Target,⭐,2,-1.06%,ON,NO,OFF,,Lower Quartile,-2,25.0%,53.9,48.0,-0.001,-0.000,Lower-low still forming (price still breaking down),15,40.0%,50.0%,-0.62%,9.31%,BACKTEST_END
CA.PA,CA,stock,Revolut,Euro,WATCH,IN_POS,15.01,20.28,19.47,29.7%,Attractive,⭐⭐⭐,14,-1.57%,ON,NO,OFF,,Lower Quartile,1,81.2%,56.9,43.5,-0.038,-0.044,Lower-low still forming (price still breaking down),61,70.5%,86.7%,2.58%,1242.32%,BACKTEST_END
EVK.DE,Evonik,stock,Revolut,Euro,WATCH,IN_POS,14.29,17.13,16.44,15.1%,Moderate,⭐⭐⭐,8,2.51%,ON,NO,OFF,,Lower Quartile,0,50.0%,45.3,49.4,0.001,0.006,Lower-low still forming (price still breaking down),45,62.2%,61.5%,1.86%,693.85%,BACKTEST_END
FISV,Fiserv,stock,Revolut,USD,WATCH,IN_POS,57.71,96.40,92.54,60.4%,Attractive,⭐⭐⭐,9,1.12%,ON,NO,OFF,,Lower Quartile,0,66.7%,29.1,41.8,0.429,0.056,,45,77.8%,57.1%,7.59%,1782.90%,BACKTEST_END
MEL.MC,Melia Hotels,stock,Revolut,Euro,WATCH,IN_POS,9.26,11.15,10.70,15.6%,Moderate,⭐,4,2.89%,ON,VALID,OFF,,Extended,2,87.5%,72.4,69.0,0.069,0.028,Lower-low still forming (price still breaking down),44,68.2%,81.8%,3.86%,2146.23%,BACKTEST_END
SCR.PA,SCOR SE,stock,Revolut,Euro,WATCH,IN_POS,30.14,35.14,33.73,11.9%,Moderate,⭐⭐⭐,12,-0.53%,ON,NO,OPEN,,Lower Quartile,1,84.6%,57.1,52.4,0.029,-0.053,Lower-low still forming (price still breaking down),52,73.1%,85.7%,3.80%,2100.96%,BACKTEST_END
XYZ,XYZ,stock,Revolut,USD,WATCH,IN_POS,61.17,76.20,73.15,19.6%,Moderate,⭐⭐⭐,8,3.03%,ON,NO,OPEN,,Lower Quartile,1,71.4%,47.3,52.5,0.181,0.056,,26,73.1%,63.6%,12.46%,5016.25%,BACKTEST_END
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,128.80,102.45,98.35,-23.6%,Above Target,⭐⭐,5,3.21%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,52.4,52.2,-0.610,0.514,Lower-low still forming (price still breaking down),19,68.4%,75.0%,4.84%,397.18%,TRAILING_STOP
1T4.F,Torm,stock,Revolut,Euro,WAIT,WAIT,22.76,27.95,26.83,17.9%,Moderate,⭐⭐,7,0.80%,OFF,NO,OFF,,Lower Quartile,1,66.7%,60.5,50.0,-0.001,-0.009,Lower-low still forming (price still breaking down),33,66.7%,55.6%,7.18%,13778.82%,TRAILING_STOP
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,64.22,94.75,90.96,41.6%,Attractive,⭐,4,9.03%,OFF,VALID,OFF,,Limited history,0,,30.0,48.5,0.296,0.516,,0,,,,,Insufficient history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,8.95,13.40,12.86,43.7%,Attractive,⭐⭐⭐,11,2.87%,OFF,NO,OFF,,Lower Quartile,1,100.0%,25.0,24.7,-0.242,0.033,Lower-low still forming (price still breaking down),12,75.0%,75.0%,2.21%,52.43%,HARD_STOP_FROM_ENTRY
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.27,50.04,48.04,19.3%,Moderate,⭐⭐⭐,13,1.36%,OFF,NO,OFF,,Lower Quartile,2,71.4%,36.8,35.0,-0.352,0.011,Strong downtrend (ADX high & rising; -DI dominant),53,69.8%,88.9%,4.97%,3207.76%,TRAILING_STOP
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,247.64,389.47,373.89,51.0%,Attractive,⭐⭐⭐,11,-0.21%,OFF,NO,OFF,,Lower Quartile,2,72.7%,31.1,35.7,-0.237,-0.206,Strong downtrend (ADX high & rising; -DI dominant),42,71.4%,53.8%,4.77%,1471.66%,TRAILING_STOP
AKE.PA,Arkema,stock,Revolut,Euro,WAIT,WAIT,52.95,65.36,62.75,18.5%,Moderate,⭐⭐⭐,11,4.85%,OFF,NO,OFF,,Lower Quartile,2,72.7%,46.6,43.8,-0.107,0.016,Lower-low still forming (price still breaking down),44,68.2%,70.0%,2.02%,1703.63%,TRAILING_STOP
AKE.PA,AKE,stock,Revolut,Euro,WAIT,WAIT,52.95,65.34,62.73,18.5%,Moderate,⭐⭐⭐,11,4.85%,OFF,NO,OFF,,Lower Quartile,2,72.7%,46.6,43.8,-0.107,0.016,Lower-low still forming (price still breaking down),44,68.2%,70.0%,2.02%,1703.63%,TRAILING_STOP
