Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
FISV,Fiserv,stock,Revolut,USD,BLOCKED,ARMED,55.45,93.03,89.31,61.1%,Attractive,⭐⭐⭐,92,92,-0.63%,ON,VALID,OFF,57.95,Lower Quartile,1,72.7%,28.6,39.7,0.327,0.050,,Lower-low still forming (price still breaking down),42,73.8%,71.4%,7.89%,2230.80%,HARD_STOP_FROM_ENTRY,S2_HOLD12_BUF,5%,Fresh,71.4%,71.4%,11.82%,Early Edge
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,126.63,,,,No Target,⭐⭐,6,6,,,NO,,,ETF Pullback,,81.8%,,79.5,,0.860,0.0x [mild],"drawdown_macd_turn, rsi14=79.46, rsi_sup=58.92, dd20=0.000, dd_th=0.020, bullish_day, macd_improving",26,81.8%,81.8%,13.82%,15.96%,"drawdown_macd_turn, rsi14=79.46, rsi_sup=58.92, dd20=0.000, dd_th=0.020, bullish_day, macd_improving",,,,,,,
INTU,Intuit,stock,Revolut,USD,WATCH,WATCH,425.87,619.95,595.15,39.7%,Attractive,⭐⭐⭐,87,87,-1.51%,ON,NO,OFF,,Lower Quartile,1,61.5%,38.2,44.5,1.716,-0.412,,Lower-low still forming (price still breaking down),50,80.0%,61.5%,6.22%,4530.13%,HARD_STOP_FROM_ENTRY,S1_FAST,7%,Fresh,77.8%,77.8%,5.03%,Early Edge
PUIG.MC,Puig Brands,stock,Revolut,Euro,WATCH,IN_POS,17.33,21.91,21.03,21.4%,Attractive,⭐⭐⭐,95,95,2.61%,ON,NO,OFF,,Limited history,0,,61.5,61.3,0.085,0.041,,,2,100.0%,100.0%,8.51%,17.75%,BACKTEST_END,S0_BASE,10%,Fresh,100.0%,100.0%,8.51%,Early Edge
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,23.36,29.61,28.43,21.7%,Attractive,,30,30,-5.23%,ON,NO,OFF,,Normal Range,0,63.6%,78.1,58.6,0.108,-0.127,,Lower-low still forming (price still breaking down),44,61.4%,70.0%,4.17%,2170.75%,BACKTEST_END,S3_HOLD16,192%,Late,70.0%,14.0%,11.54%,Exhausted
1ZAL.MI,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.45,34.82,33.43,63.5%,Attractive,⭐,51,51,0.00%,OFF,NO,OFF,,Limited history,0,,43.0,42.9,0.016,-0.033,,,3,100.0%,100.0%,5.04%,17.27%,HARD_STOP_FROM_ENTRY,S0_BASE,57%,Mature,100.0%,65.0%,5.04%,Mid OK
AAPL,Apple,stock,Revolut,USD,WAIT,WAIT,255.63,14.87,14.28,-94.4%,Above Target,,30,30,0.73%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,50.0,49.9,0.281,0.538,,,39,71.8%,54.5%,10.86%,10172.02%,TRAILING_STOP,S3_HOLD16,73%,Mature,52.7%,21.1%,1.90%,Mid OK
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,241.37,387.28,371.79,54.0%,Attractive,⭐,46,46,-0.70%,OFF,VALID,OFF,,Lower Quartile,2,90.0%,31.8,38.4,-0.223,0.332,,Lower-low still forming (price still breaking down),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP,S0_BASE,68%,Mature,89.1%,57.9%,3.05%,Mid OK
AMD,AMD,stock,Revolut,USD,WAIT,WAIT,210.21,225.27,216.26,2.9%,Near Target,,12,12,3.33%,OFF,VALID,OFF,,Lower Quartile,2,77.8%,53.5,53.6,0.719,0.679,,,34,67.6%,66.7%,8.58%,297681.01%,HARD_STOP_FROM_ENTRY,S5_COMBO,109%,Late,66.7%,13.3%,43.01%,Exhausted
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,9.32,13.81,13.26,42.3%,Attractive,,20,20,-0.87%,OFF,NO,OFF,,Lower Quartile,1,78.6%,26.5,37.8,-0.069,0.073,,,55,83.6%,70.0%,4.55%,5155.94%,HARD_STOP_FROM_ENTRY,S1_FAST,317%,Late,70.0%,14.0%,0.99%,Exhausted
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.31,65.74,63.11,28.0%,Attractive,,30,30,1.29%,OFF,VALID,OFF,,Lower Quartile,1,72.7%,32.5,42.8,-0.014,0.025,,Lower-low still forming (price still breaking down),41,75.6%,71.4%,4.67%,1081.57%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S5_COMBO_BUF,113%,Late,71.4%,14.3%,9.59%,Exhausted
BKNG,Booking,stock,Revolut,USD,WAIT,WAIT,4184.56,5066.00,4863.36,16.2%,Moderate,⭐,59,59,-0.61%,OFF,VALID,OFF,,Lower Quartile,0,61.5%,39.7,44.5,0.862,0.807,,,50,62.0%,75.0%,2.86%,4468.44%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S2_HOLD12,69%,Mature,80.0%,52.0%,8.52%,Mid OK
BRBY.L,Vistry Group,stock,Moneybase,GBP,WAIT,WAIT,10.98,5.81,5.58,-49.2%,Above Target,,0,0,0.92%,OFF,VALID,OFF,,Lower Quartile,0,53.3%,46.0,53.0,-0.216,4.988,,,59,69.5%,50.0%,5.00%,3852.49%,HARD_STOP_FROM_ENTRY,S8_DI_GUARD_BUF,396%,Late,40.0%,8.0%,-1.65%,Exhausted
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,8.37,10.37,9.96,18.9%,Moderate,,38,38,3.14%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,41.6,44.2,-0.054,0.052,,,47,80.9%,70.0%,6.29%,9948.32%,TRAILING_STOP,S3_HOLD16_BUF,194%,Late,70.0%,14.0%,8.36%,Exhausted
