Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),Simple Return %,MWR % (YTD),MWR % (ann.)
The Coca-Cola Company,KO,revolut,USD,177.51245579001417,0.0,199.51409978308024,0.0,16.288816764212328,0.0,16.288816764212328,9.176154254482825,41.00979985119426,250.55803912726066
Prysmian Group,PRY.MI,revolut,EUR,0.0,0.0,0.0,632.7286351059843,0.0,0.0,0.0,,,
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,250.01,0.0,750.3684175262165,0.0,500.3584175262165,500.3584175262165,200.13536159602276,,
Dermant,WDH1.HA,revolut,EUR,0.0,0.0,0.0,504.10468950067155,0.0,0.0,0.0,,,
Gold,XAU,revolut,EUR,0.0,252.48,0.0,588.3907956613232,0.0,335.91079566132316,335.91079566132316,133.04451665926933,,
TOTAL (priced only),,,,177.51245579001417,502.49,199.51409978308024,2475.592537794196,16.288816764212328,836.2692131875397,852.558029951752,125.37572808634432,1679.2661709547885,3659042.846686622
