Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.52,2.96,2.84,86.3%,Attractive,,24,24,2.69%,OFF,NO,OFF,,Lower Quartile,1,72.7%,35.9,39.6,-0.646,-0.222,,41,56.1%,50.0%,2.61%,655.07%,TREND_BREAK_MA40_TWO_NEG_SLOPE,64%,Mature,40.0%,26.0%,0.38%,Late Risk
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,105.05,135.51,130.09,23.8%,Attractive,,20,20,-1.73%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,36.9,35.1,-0.937,0.121,,46,67.4%,61.5%,6.27%,2307.20%,HARD_STOP_FROM_ENTRY,96%,Late,61.5%,12.3%,3.15%,Late Risk
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,356.77,475.11,456.11,27.8%,Attractive,,33,33,-2.51%,OFF,NO,OFF,,Lower Quartile,2,83.3%,24.9,22.3,-2.320,-1.388,Lower-low still forming (price still breaking down),46,76.1%,70.0%,5.90%,3833.11%,TREND_BREAK_MA40_TWO_NEG_SLOPE,46%,Mid,42.0%,35.7%,1.21%,Late Risk
NEXI.MI,Nexi,stock,Revolut,Euro,WAIT,WAIT,2.99,3.94,3.78,26.3%,Attractive,,21,21,-1.64%,OFF,VALID,OFF,,Lower Quartile,0,60.0%,34.1,46.2,0.004,0.009,,19,63.2%,66.7%,3.85%,120.91%,HARD_STOP_FROM_ENTRY,274%,Late,66.7%,13.3%,4.30%,Exhausted
NKT.SG,NKT Holding,stock,Revolut,Euro,WAIT,WAIT,108.80,128.27,123.14,13.2%,Moderate,,34,34,1.97%,OFF,VALID,OFF,,Lower Quartile,2,75.0%,62.0,54.3,-0.157,0.272,,13,76.9%,66.7%,8.24%,354.23%,RSI_BAND_DROP,629%,Late,66.7%,13.3%,8.24%,Exhausted
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,30.47,55.19,52.98,73.9%,Attractive,,3,3,-4.56%,OFF,NO,OFF,,Lower Quartile,1,69.2%,32.8,28.8,-0.330,-0.016,Lower-low still forming (price still breaking down),52,67.3%,40.0%,2.32%,2822.22%,TRAILING_STOP,374%,Late,40.0%,8.0%,-2.10%,Exhausted
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,37.64,49.86,47.87,27.2%,Attractive,,3,3,-0.05%,OFF,VALID,OFF,,Lower Quartile,0,50.0%,38.1,43.9,-0.087,0.086,,8,25.0%,25.0%,-1.49%,-4.55%,HARD_STOP_FROM_ENTRY,836%,Late,15.0%,3.0%,-2.12%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.89,7.89,7.57,28.6%,Attractive,,25,25,0.82%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,46.5,49.1,-0.011,0.017,,22,72.7%,72.7%,3.44%,218.75%,TRAILING_STOP,293%,Late,78.2%,15.6%,4.21%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,127.11,174.55,167.57,31.8%,Attractive,,42,42,-2.63%,OFF,NO,OFF,,Lower Quartile,1,83.3%,30.5,32.1,-0.361,-0.036,Lower-low still forming (price still breaking down),47,80.9%,73.3%,3.68%,5564.59%,TREND_BREAK_MA40_TWO_NEG_SLOPE,64%,Mature,58.7%,38.2%,2.33%,Mid OK
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,20.05,26.89,25.81,28.8%,Attractive,,16,16,-0.99%,OFF,NO,OFF,,Lower Quartile,0,66.7%,43.3,39.6,-11.616,-1.293,Lower-low still forming (price still breaking down),45,71.1%,62.5%,3.50%,922.29%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,245%,Late,62.5%,12.5%,2.77%,Exhausted
