Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),MWR % (YTD),MWR % (ann.)
The Coca-Cola Company,KO,revolut,USD,177.51245579001417,0.0,199.51409978308024,0.0,22.001643993066068,0.0,22.001643993066068,41.00979985119426,250.55803912726066
Prysmian Group,PRY.MI,revolut,EUR,0.0,0.0,0.0,632.7286351059843,0.0,632.7286351059843,632.7286351059843,,
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,250.01,0.0,750.3684175262165,0.0,500.3584175262165,500.3584175262165,,
Dermant,WDH1.HA,revolut,EUR,0.0,0.0,0.0,504.10468950067155,0.0,504.10468950067155,504.10468950067155,,
Gold,XAU,revolut,EUR,0.0,252.48,0.0,583.6633954430539,0.0,331.1833954430539,331.1833954430539,,
TOTAL (priced only),,,,177.51245579001417,502.49,199.51409978308024,2470.8651375759264,22.001643993066068,1968.3751375759261,1990.3767815689926,1675.666021693873,3632091.081830673
