Ticker,Type,Trades,Win Rate %,Avg Return %,Compounded Return,Backtest Status
VUAA.MI,etf,12,75.0,6.595762980525741,1.0892651611952004,OK
XMEU.DE,etf,51,78.43137254901961,4.33984711837192,7.139680036009187,OK
IQQY.DE,etf,56,78.57142857142857,3.7204502435287585,6.218633249731592,OK
0B2.F,stock,22,72.72727272727273,13.182558663214758,11.747048593797865,OK
SCR.PA,stock,47,57.446808510638306,7.320659372101188,17.979004063733566,OK
AKE.PA,stock,59,69.49152542372882,6.239018311969308,24.65517700053218,OK
DWS.DE,stock,19,84.21052631578947,12.001255465560444,6.912971750780721,OK
MSFT,stock,43,69.76744186046511,9.764829100110575,37.37673795564967,OK
DTE.DE,stock,64,73.4375,5.907288945865643,31.3851440916985,OK
XYZ,stock,28,71.42857142857143,21.26482830405472,84.37493195583613,OK
AAPL,stock,39,71.7948717948718,14.091021405321966,101.7202303907828,OK
NVDA,stock,41,80.48780487804879,25.885094784230915,2711.3481722118945,OK
AMD,stock,34,67.64705882352942,35.08838385618308,2976.810101916696,OK
PRY.MI,stock,61,80.32786885245902,8.545821601496185,109.85148210654492,OK
KO,stock,57,75.43859649122807,4.0800370795233984,8.230088953729734,OK
TEP.PA,stock,56,67.85714285714286,7.079695261501572,31.511731567188093,OK
CAP.PA,stock,38,76.31578947368422,8.148415055058841,13.857021070402459,OK
DSY.PA,stock,48,81.25,7.241334443444981,23.347734400670575,OK
SAN.PA,stock,65,78.46153846153847,4.688633878113567,17.06487809424843,OK
CA.PA,stock,57,75.43859649122807,5.397245601054796,16.483649400210208,OK
MC.PA,stock,46,69.56521739130434,8.154962350588752,28.04605777516276,OK
EN.PA,stock,53,67.9245283018868,5.599180554581922,13.149550664438932,OK
AKE.PA,stock,59,69.49152542372882,6.239018311969308,24.65517700053218,OK
AC.PA,stock,62,79.03225806451613,7.160201345128152,57.040205983414985,OK
FME.DE,stock,38,68.42105263157895,4.877857037422166,4.305311772997792,OK
P911.DE,stock,7,28.57142857142857,-0.7371491600724843,-0.05396660224681937,OK
MRK.DE,stock,56,76.78571428571429,6.820812289006191,29.898182530683613,OK
EVK.DE,stock,49,71.42857142857143,5.935071168948958,13.432051765268572,OK
BC8.DE,stock,48,64.58333333333334,10.458618674662713,79.01268501973745,OK
DHL.DE,stock,38,81.57894736842105,10.719993592092166,38.329876634888855,OK
AMP.MI,stock,55,83.63636363636363,7.985191759423728,51.559376269687746,OK
NEXI.MI,stock,20,60.0,4.551726694806424,1.3171389877297899,OK
PIRC.MI,stock,17,64.70588235294117,6.842193010827053,1.8417095873798317,OK
DLG.MI,stock,48,72.91666666666666,10.704914867881804,83.35371029961806,OK
IP.MI,stock,36,72.22222222222221,12.736524333676424,49.35395518481034,OK
BRE.MI,stock,47,80.85106382978722,11.388000038930796,99.48318449874795,OK
DIA.MI,stock,44,61.36363636363637,7.564598176438566,16.857438622241578,OK
GRF.MC,stock,55,72.72727272727273,9.273489056487646,83.84116033207437,OK
AMS.MC,stock,41,75.60975609756098,6.646912113264176,10.81567227755322,OK
MAP.MC,stock,47,65.95744680851064,5.662784467093095,9.822705336961693,OK
TRE.MC,stock,46,63.04347826086957,10.402257974011553,49.02424667799539,OK
FDR.MC,stock,36,66.66666666666666,11.333537482650675,28.007642248927233,OK
GEST.MC,stock,24,54.166666666666664,7.698016308396373,3.150432020535569,OK
MEL.MC,stock,40,67.5,10.746589226721387,34.09562821195035,OK
REP.MC,stock,44,61.36363636363637,8.683635362932051,22.55321513686249,OK
WDH.F,stock,8,87.5,5.35373593154617,0.48872101129902523,OK
GNN.F,stock,58,81.03448275862068,9.940297945408611,162.50571418423593,OK
NOV.DE,stock,59,71.1864406779661,7.196240624262056,40.53937734882276,OK
NKT.SG,stock,8,75.0,20.142581677588836,2.7946003798984296,OK
CBH.F,stock,17,64.70588235294117,3.3666874382184315,0.6947831671587321,OK
T2V1.F,stock,54,81.48148148148148,4.997139269534307,11.79888069422308,OK
3P7.DE,stock,0,,,,Insufficient history
8ZI.DU,stock,15,60.0,2.943402495486326,0.5193971036949945,OK
1T4.F,stock,55,74.54545454545455,130.96592208084923,1203665.7496389046,OK
HYQ.DE,stock,57,75.43859649122807,15.510785465809183,1572.6067121598578,OK
1ZAL.MI,stock,3,100.0,5.492132416167418,0.17272276139480125,OK
RAT.L,stock,37,62.16216216216216,5.433454818052825,4.839302511054963,OK
SN.L,stock,45,75.55555555555556,5.33040877816604,8.153630019935848,OK
MONY.L,stock,41,56.09756097560976,5.446290365941044,6.5507064556077275,OK
EMG.L,stock,51,74.50980392156863,8.199033694909245,35.92127032763147,OK
SSPG.L,stock,38,78.94736842105263,8.278750861194819,14.011542573162728,OK
KNOS.L,stock,28,57.14285714285714,11.773369763015827,12.743990698580141,OK
BPCR.L,stock,17,41.17647058823529,0.3651045122859291,0.05679339475099643,OK
ADBE,stock,40,80.0,8.377995890698644,18.360329142652972,OK
ADSK,stock,69,71.01449275362319,6.801728289001217,69.12398172877727,OK
FISV,stock,42,73.80952380952381,8.232443823386033,22.30804963739839,OK
INTU,stock,50,80.0,8.466540259938396,45.301337258129884,OK
CAH,stock,46,69.56521739130434,7.70057698375513,22.689289093714784,OK
QCOM,stock,38,71.05263157894737,9.755324800844623,22.845244452454555,OK
ROP,stock,55,65.45454545454545,5.051834123605898,11.46686264003968,OK
UPS,stock,46,89.13043478260869,7.585068806812374,22.4398557641691,OK
