Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),Simple Return %,MWR % (YTD),MWR % (ann.)
Elastic,ESTC,revolut,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
The Coca-Cola Company,KO,revolut,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Prysmian Group,PRY.MI,revolut,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Dermant,WDH1.HA,revolut,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gold,XAU,revolut,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TOTAL (priced only),,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
