Ticker,Type,Trades,Win Rate %,Avg Return %,Compounded Return,Backtest Status
VUAA.MI,etf,12,75.0,6.595762980525741,1.0892651611952004,OK
XMEU.DE,etf,51,78.43137254901961,4.33984711837192,7.139680036009187,OK
IQQY.DE,etf,56,78.57142857142857,3.7204502435287585,6.218633249731592,OK
XAD5.MI,etf,48,77.08333333333334,4.167677996774953,5.679813158015681,OK
0B2.F,stock,19,73.68421052631578,10.56634995410667,4.982148786621296,OK
SCR.PA,stock,53,67.9245283018868,6.402502756998304,19.60885169320794,OK
AKE.PA,stock,44,61.36363636363637,7.598989506229838,16.399459090703473,OK
DWS.DE,stock,19,84.21052631578947,12.001255465560444,6.912971750780721,OK
MSFT,stock,46,76.08695652173914,8.83926400431119,38.33106877863443,OK
DTE.DE,stock,59,69.49152542372882,5.694077749513347,20.30040696700009,OK
XYZ,stock,25,76.0,19.876720565040827,58.23053957170841,OK
TEP.PA,stock,41,63.41463414634146,9.257968255275186,25.18394347469867,OK
CAP.PA,stock,44,72.72727272727273,7.568157748749113,18.915031989139717,OK
DSY.PA,stock,41,80.48780487804879,7.985528115063019,19.1327843969768,OK
SAN.PA,stock,53,75.47169811320755,4.996315210411638,11.055086129879202,OK
CA.PA,stock,61,75.40983606557377,5.059610988672072,16.748488044470008,OK
MC.PA,stock,47,70.2127659574468,8.557199481771432,36.803928239232036,OK
EN.PA,stock,55,70.9090909090909,5.648989035949133,15.006027871098219,OK
AKE.PA,stock,44,61.36363636363637,7.598989506229838,16.399459090703473,OK
AC.PA,stock,53,67.9245283018868,7.068478113858471,28.400695894783635,OK
FME.DE,stock,46,71.73913043478261,4.835979328048358,6.698892941409862,OK
P911.DE,stock,8,25.0,-0.520388680602879,-0.04554240772191209,OK
MRK.DE,stock,46,67.3913043478261,7.755174725018606,23.0719826847958,OK
EVK.DE,stock,46,63.04347826086957,5.5026442539448475,8.926126899686063,OK
BC8.DE,stock,41,60.97560975609756,11.3335332474979,54.05010812617334,OK
DHL.DE,stock,32,81.25,9.03458617157624,13.032529884302242,OK
AMP.MI,stock,43,83.72093023255815,10.136079838245234,46.3594417483778,OK
NEXI.MI,stock,19,63.1578947368421,4.558575370685947,1.209054798703153,OK
PIRC.MI,stock,22,72.72727272727273,5.743640960580206,2.187450480217362,OK
DLG.MI,stock,44,65.9090909090909,10.299561495425081,47.84690456910536,OK
IP.MI,stock,38,78.94736842105263,12.6753978944105,62.567056344524765,OK
BRE.MI,stock,47,78.72340425531915,9.910151483416415,59.71139627817494,OK
DIA.MI,stock,51,54.90196078431373,5.926651774196921,12.97935612095978,OK
GRF.MC,stock,52,69.23076923076923,8.708051632126496,50.718850772618204,OK
AMS.MC,stock,43,76.74418604651163,6.010960990977764,9.503072007639478,OK
MAP.MC,stock,58,70.6896551724138,5.268594677230696,15.054608133568426,OK
TRE.MC,stock,55,65.45454545454545,7.761473788360605,33.50104268568751,OK
FDR.MC,stock,41,63.41463414634146,11.259604706324625,42.34381302045631,OK
GEST.MC,stock,27,55.55555555555556,6.896490272623199,3.205140721040574,OK
MEL.MC,stock,45,68.88888888888889,8.878186031163965,29.957629893555346,OK
REP.MC,stock,48,58.333333333333336,6.452215006803363,12.967067497610063,OK
WDH.F,stock,8,87.5,6.7399371270576,0.6325621500308725,OK
GNN.F,stock,47,74.46808510638297,10.902797893788755,79.79701864435239,OK
NOV.DE,stock,52,67.3076923076923,7.621994103896648,28.222158694142415,OK
NKT.SG,stock,13,76.92307692307693,13.643188725189624,3.542309720943372,OK
CBH.F,stock,15,53.333333333333336,3.404385987652589,0.5905694270588489,OK
T2V1.F,stock,46,80.43478260869566,5.207804447284879,8.62001068335464,OK
3P7.DE,stock,0,,,,Insufficient history
8ZI.DU,stock,13,69.23076923076923,3.347655949891454,0.5153495191758972,OK
1T4.F,stock,47,70.2127659574468,151.1162395166462,410225.1763710626,OK
HYQ.DE,stock,50,64.0,17.906197375703535,1089.6169139019244,OK
ZAL.DE,stock,29,68.96551724137932,14.472129752675242,25.89352448416047,OK
RAT.L,stock,45,71.11111111111111,5.645434500596897,9.22293949981294,OK
SN.L,stock,52,75.0,5.582456532844976,13.630673105050235,OK
MONY.L,stock,41,56.09756097560976,5.446290365941044,6.5507064556077275,OK
EMG.L,stock,46,73.91304347826086,8.583934584592987,28.19197601503993,OK
SSPG.L,stock,36,69.44444444444444,7.977596935757715,10.088794731946678,OK
KNOS.L,stock,32,59.375,11.078057269664841,16.45566295189769,OK
BPCR.L,stock,17,52.94117647058824,1.0275023580349838,0.1827072611415026,OK
ADBE,stock,40,80.0,8.377995890698644,18.360329142652972,OK
ADSK,stock,57,68.42105263157895,7.758588466045731,52.261796225162385,OK
FISV,stock,45,77.77777777777779,7.044006437236191,17.503591463455837,OK
INTU,stock,42,78.57142857142857,9.530245649215257,35.67714631823347,OK
CAH,stock,54,77.77777777777779,7.675613873385264,44.12373076568093,OK
QCOM,stock,47,80.85106382978722,9.83206708038418,55.645906219559144,OK
ROP,stock,42,66.66666666666666,6.133826992225975,9.211156810701537,OK
UPS,stock,46,89.13043478260869,7.585068806812374,22.4398557641691,OK
