ticker,interval,latest_local,expected_latest,removed_weekend_rows,status
EMG.L,1d,2026-03-27,2026-03-27,0,ok
EMG.L,1wk,2026-03-23,2026-03-21,0,ok
SSPG.L,1d,2026-03-27,2026-03-27,0,ok
SSPG.L,1wk,2026-03-23,2026-03-21,0,ok
KNOS.L,1d,2026-03-27,2026-03-27,0,ok
KNOS.L,1wk,2026-03-23,2026-03-21,0,ok
BPCR.L,1d,2026-03-27,2026-03-27,0,ok
BPCR.L,1wk,2026-03-23,2026-03-21,0,ok
ADBE,1d,2026-03-27,2026-03-27,0,ok
ADBE,1wk,2026-03-23,2026-03-21,0,ok
ADSK,1d,2026-03-27,2026-03-27,0,ok
ADSK,1wk,2026-03-23,2026-03-21,0,ok
FISV,1d,2026-03-27,2026-03-27,0,ok
FISV,1wk,2026-03-23,2026-03-21,0,ok
INTU,1d,2026-03-27,2026-03-27,0,ok
INTU,1wk,2026-03-23,2026-03-21,0,ok
CAH,1d,2026-03-27,2026-03-27,0,ok
CAH,1wk,2026-03-23,2026-03-21,0,ok
QCOM,1d,2026-03-27,2026-03-27,0,ok
QCOM,1wk,2026-03-23,2026-03-21,0,ok
ROP,1d,2026-03-27,2026-03-27,0,ok
ROP,1wk,2026-03-23,2026-03-21,0,ok
UPS,1d,2026-03-27,2026-03-27,0,ok
UPS,1wk,2026-03-23,2026-03-21,0,ok
