Investment,Code,Platform,Ccy,Net amount,Cost (EUR),Last price (ccy),Value (ccy),FX→EUR,Value (EUR),Unrealised (EUR),Unrealised %,Price_Missing
Gold,XAU,revolut,USD,0.144924,504.98,4519.01611328125,654.9138912011719,1.1467890739440918,571.0848717356198,66.10487173561978,13.090592050302938,False
The Coca-Cola Company,KO,revolut,USD,3.01772879,183.2252830188679,76.5,230.85625243500002,1.1467890739440918,201.3066375327663,18.08135451389839,9.868373084754047,False
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,6.685987659999999,750.01,107.29000091552734,717.3396221626044,1.0,717.3396221626044,-32.67037783739556,-4.3559922984220965,False
TOTALS (priced only),,,,,1438.215283018868,,,,1489.7311314309904,51.51584841212252,3.581928868395058,False
Unpriced cost at risk,,,,,0.0,,,,,,,True
