Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),MWR % (YTD),MWR % (ann.)
The Coca-Cola Company,KO,revolut,USD,177.51245579001417,0.0,0.0,201.3066375327663,0.0,23.79418174275213,23.79418174275213,13.404232191439757,68.49510246645353
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,0.0,0.0,717.3396221626044,0.0,717.3396221626044,717.3396221626044,,
Gold,XAU,revolut,EUR,0.0,0.0,0.0,571.0848717356198,0.0,571.0848717356198,571.0848717356198,,
TOTAL (priced only),,,,177.51245579001417,0.0,0.0,1489.7311314309904,0.0,1312.2186756409765,1312.2186756409765,739.2262530538737,679101.0972112899
