Year,Investment,Code,Platform,Ccy,First buy,First sell,Last sell,Sell trades,Units sold,Proceeds (EUR),Cost basis sold (EUR),Realised P/L (EUR)
2024,Elastic,ESTC,revolut,USD,2024-09-03,2024-12-04,2024-12-04,1,1.0,79.8555175679515,50.48178926441352,29.373728303537973
2026,The Coca-Cola Company,KO,revolut,USD,2024-12-09,2026-04-02,2026-04-02,1,3.01772879,199.51409978308024,183.2252830188679,16.288816764212328
