ticker,commodity_type,index,close,rsi14,macd_hist,macd_improving,macd_slope,macd_slope_cross_up,bullish_day,drawdown_lookback,drawdown_entry_th,rsi_support_th,rsi_support_ok,structural_bull,deep_dip,turn_confirm,buy_gate,primed,strong_buy,fwd_1y_return,fwd_2y_return,fwd_3y_return,window_score,window_open,window_close,window_days,selected
XAD5.MI,gold,,96.61000061035156,38.11449320897432,-0.6406677210283007,True,0.008434682967672913,False,False,0.08884276409880178,0.07438047915422873,43.04742077515791,True,False,True,True,True,False,True,-0.026498266664118697,0.03457195235265087,0.1979091463180611,11.558261671186198,2013-09-20,2013-10-04,9,True
XAD5.MI,gold,,103.97000122070312,40.03759467923574,-0.7324389087145027,True,0.047419818860697016,False,False,0.07252450815416223,0.0656455648960511,42.37253368499615,True,True,True,True,True,False,True,0.038472635885701045,0.0932961126705334,0.015485241814452877,12.098953077994121,2015-02-20,2015-02-24,3,True
XAD5.MI,gold,,105.23999786376952,36.09391774524176,-0.75957836244284,True,0.018212485812075796,True,True,0.07465053409449741,0.06586648593081305,44.02102875533458,True,True,True,True,True,False,True,0.07696691978848524,0.0023755226631951842,0.07810719676509037,12.584529307940453,2016-04-04,2016-04-06,2,True
XAD5.MI,gold,,110.72000122070312,36.460705231197885,-0.6376166709297552,True,0.034338546306620255,False,False,0.051892426973274515,0.05181129004012843,45.98551684969718,True,True,True,True,True,False,True,-0.054732636305829585,0.019779646109656657,0.24539376688396297,10.73453773936613,2017-03-15,2017-03-15,1,True
XAD5.MI,gold,,109.72000122070312,31.612881388245015,-0.764674876691016,True,0.03001614477554737,False,False,0.07417096242579603,0.052110987931001926,46.5446454171435,True,True,True,True,True,False,True,-0.016952247444931623,0.020415583657019454,0.3862559643757624,12.904646483004083,2017-05-08,2017-05-11,4,True
XAD5.MI,gold,,133.49000549316406,37.39168876416327,-1.3886555518306207,True,0.011391651471760689,False,False,0.11012592239591783,0.03901096737401787,46.54392551516965,True,True,True,True,True,False,True,0.057382486239485386,0.31073484171564614,0.25425114829555717,15.318738690540362,2020-03-04,2020-03-20,5,True
XAD5.MI,gold,,158.22999572753906,44.99375282376065,-0.801485699623899,True,0.001267027156963918,False,False,0.06083808321419951,0.03707540190095639,48.74865549566904,True,True,True,True,True,False,True,-0.05732157182793318,0.06300955248631102,0.06642236016818526,10.76754643123511,2020-08-21,2020-09-02,7,True
XAD5.MI,gold,,145.9199981689453,29.847017992575744,-0.8464968194696594,True,0.11958329002630785,True,True,0.08794303919703236,0.040083054504353524,48.30069768149153,True,True,True,True,True,False,True,0.05455048529161255,0.12267002042138819,0.2078536335776182,14.147681696356528,2020-12-01,2020-12-03,3,True
XAD5.MI,gold,,143.49000549316406,31.402793787174986,-0.5967873686554594,True,0.010254865838452476,False,False,0.051619282227787194,0.047024702084060496,47.870635935634944,True,False,True,True,True,False,True,0.17213740332192629,0.20649514593150542,0.44010029604112644,9.117319075248977,2021-06-29,2021-06-29,1,True
XAD5.MI,gold,,169.16000366210938,51.0015849695466,-0.7925570344616257,True,0.059294558888830284,False,False,0.0756788768943943,0.051519426020275316,48.982704826525016,False,True,True,True,True,False,False,0.036356075687777434,0.14128631697256067,0.5847716999802455,7.474183353987816,2022-03-23,2022-04-04,4,True
XAD5.MI,gold,,206.6699981689453,50.79170251837902,-1.4945987116327863,True,0.05113327581447047,False,False,0.04694492805183852,0.04226322586150684,48.791430403790656,False,True,True,True,True,False,False,0.3867034348334082,,,5.19225804267676,2024-05-06,2024-05-07,2,True
XAD5.MI,gold,,234.08999633789065,40.83678355774083,-1.592433069917076,True,0.0005750170102447605,True,False,0.051345430584350024,0.04204420379596028,49.25752651620302,True,True,True,True,True,False,True,0.43948911312858163,,,10.340691762128735,2024-11-15,2024-11-15,1,True
XAD5.MI,gold,,258.69000244140625,43.0385048924925,-1.580373270834348,True,0.1975749192382079,True,True,0.04327087382366419,0.040446754286228674,49.53130442195747,True,True,True,True,True,False,True,0.6075997958652568,,,9.518589514493735,2025-03-12,2025-03-12,1,True
XAD5.MI,gold,,331.3599853515625,52.46107720386413,-2.3151448870874702,True,0.12708838793948374,False,False,0.0733521945662683,0.040404115041346444,51.38643972391277,False,True,True,True,True,False,False,,,,7.171289388992335,2025-10-31,2025-11-11,8,True
XAD5.MI,gold,,364.8200073242188,33.66084032715207,-6.950807932527622,True,0.18008933405338468,False,False,0.1611983227926661,0.0448176148474521,52.468185483417436,True,True,True,True,True,False,True,,,,19.702998597241123,2026-03-25,2026-04-02,6,True
XAG,silver,,22.509057,32.11955896202193,-0.8530655198088952,True,0.05194678453517243,True,True,0.2537750502645497,0.10056145750673522,54.96992688479901,True,True,True,True,True,False,True,0.1875203390350828,-0.28232248912071267,-0.40170745491470383,27.232439304202227,2011-09-29,2011-10-14,10,True
XAG,silver,,17.465633,23.799570330076023,-0.28672239369731356,True,0.031930197901398394,False,False,0.21595934682196494,0.10146983647846097,48.393231760529346,True,False,True,True,True,False,True,-0.1944490073735089,-0.15530167157411368,-0.14330273629361168,22.872782119351115,2013-04-18,2013-04-24,5,True
XAG,silver,,14.868657,25.99143962513864,-0.12895982434640063,True,0.0002155676333930323,True,False,0.1509354544161911,0.10989624267383631,46.37474994817097,True,False,True,True,True,False,True,0.04354831778014634,-0.05150801447635789,0.05628753155042854,17.495521183284197,2013-06-25,2013-06-25,1,True
XAG,silver,,14.669054,31.402715255213053,-0.09723198955569023,True,0.005786881268360744,False,False,0.12142550747088028,0.11888622862497077,45.313733039970586,True,False,True,True,True,False,True,-0.09234889993587858,-0.09258108941449117,0.06934850740886223,14.701823377253382,2013-11-25,2013-11-26,2,True
XAG,silver,,14.64892,16.593118926103642,-0.17774453495383452,True,0.013686698367535222,False,False,0.15950462082773725,0.08040840359016653,45.47202190841326,True,False,True,True,True,False,True,-0.038887849752746284,-0.10614693779473161,-0.009322325468362203,18.93292015213069,2017-05-05,2017-05-10,4,True
XAG,silver,,11.035851,19.47107010953303,-0.5010169047503649,True,0.026678767856852192,True,True,0.3660263308284257,0.0668043489136869,46.23066240786916,True,True,True,True,True,False,True,0.9989670937021533,1.0454291200560792,0.8871478058194153,37.22442085751142,2020-03-11,2020-04-02,10,True
XAG,silver,,20.221138,38.5741466640269,-0.4095057641578708,True,0.05676034365875898,True,True,0.15251119391334428,0.06858011145518277,47.94871119912215,True,True,True,True,True,False,True,-0.05167587501751869,-0.03136331891904398,0.041085422590954046,18.61496377994539,2020-09-28,2020-10-08,6,True
XAG,silver,,65.398221,46.17204026666704,-1.8488660847604363,True,0.3193833439981917,True,True,0.3261018418683808,0.08624320696753393,50.482838040837144,True,True,True,True,True,False,True,,,,31.894384128137105,2026-02-09,2026-03-30,15,True
XAU,gold,,1192.711657,40.174590996437345,-17.74138022633975,True,1.1359616405945303,False,False,0.10812560839949537,0.07077420754475498,53.193504804807134,True,True,True,True,True,False,True,0.1654421534676087,-0.1873001372032369,-0.2111086082895558,14.936081392244644,2011-09-27,2011-10-06,7,True
XAU,gold,,974.892792,38.79785091697242,-6.690283720561378,True,0.20896080482844237,False,False,0.08931740001713316,0.07417100803221106,46.53942531519556,True,False,True,True,True,False,True,-0.027550254982293465,0.05765987651286286,0.223569626105103,11.54156392801286,2013-09-20,2013-10-03,7,True
XAU,gold,,1054.60766,43.017445711832195,-9.213880644853218,True,0.5921924591883325,False,False,0.08293069332360418,0.06737113324636251,44.79151788981875,True,True,True,True,True,False,True,0.050966399201007206,0.12600546918083277,0.012850353277350512,12.693059808941761,2015-02-20,2015-02-24,3,True
XAU,gold,,1074.064045,41.553597965635795,-5.470712044274835,True,0.5375525022171574,False,False,0.07209898664832554,0.07090855583498494,45.04419809723262,True,True,True,True,True,False,True,0.09708504114389171,0.021557906260608384,0.06393135336729383,11.943631094615178,2016-04-06,2016-04-06,1,True
XAU,gold,,1348.897185,36.193541471419685,-16.924883917449584,True,1.33925418148279,True,True,0.12576146989475537,0.04098913640361445,47.62010770543996,True,True,True,True,True,False,True,0.08319723493232734,0.28786125682366226,0.3403390177584218,16.665434273866857,2020-03-03,2020-03-20,4,True
XAU,gold,,1622.59898,45.56847845504715,-8.085461170435256,True,0.06369734588927578,False,False,0.06093964691603688,0.03988173138693425,49.035079419895915,True,True,True,True,True,False,True,-0.04770064135008889,0.0768617850357578,0.10243773603259632,10.729693476879179,2020-08-24,2020-08-27,3,True
XAU,gold,,1477.755241,35.7776872248175,-6.016851501049089,True,0.20863737641115065,False,False,0.05347978517685574,0.048707974283242104,48.17792187793074,True,False,True,True,True,False,True,0.16627466050042572,0.196180300334323,0.46406251520782105,8.916167836163059,2021-06-29,2021-06-29,1,True
XAU,gold,,1568.751521,46.76011264216109,-3.4372208086698635,True,0.02741566578973531,False,False,0.0501084482942696,0.049767302029821166,49.22791054016723,True,True,True,True,True,False,True,0.08424550110762907,0.17190826105340884,0.6027534713701803,9.767866852168682,2021-12-14,2021-12-14,1,True
XAU,gold,,1746.311819,51.213622843483456,-8.040188105424324,True,0.8120857194861237,True,True,0.06993655173318827,0.05322862422762078,49.10764341841879,False,True,True,True,True,False,False,0.05586475905309096,0.23282979910931934,0.5572648683997712,6.997834311176387,2022-03-23,2022-04-04,2,True
