Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),Simple Return %,MWR % (YTD),MWR % (ann.)
Prysmian Group,PRY.MI,revolut,EUR,0.0,500.0,0.0,632.7286351059843,0.0,132.72863510598427,132.72863510598427,26.545727021196853,342.01524724340766,21404.074543244446
Dermant,WDH1.HA,revolut,EUR,0.0,500.0,0.0,504.10468950067155,0.0,4.1046895006715545,4.1046895006715545,0.8209379001343109,17.957296618072284,81.63666688840847
The Coca-Cola Company,KO,revolut,USD,177.51245579001417,0.0,199.51409978308024,0.0,16.288816764212328,0.0,16.288816764212328,9.176154254482825,13.846873406593119,59.78524669149364
Gold,XAU,revolut,EUR,323.8902456383985,252.48,0.0,591.5416315875423,0.0,15.171385949143826,15.171385949143826,2.6322292075191553,3.0929387583282786,11.63682650090021
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,0.0,750.01,0.0,750.3684175262165,0.0,0.358417526216499,0.358417526216499,0.04778836631731564,0.06798752185945833,0.2459158742865588
TOTAL (priced only),,,,501.4027014284127,2002.49,199.51409978308024,2478.7433737204146,16.288816764212328,152.36312808201615,168.65194484622847,6.735589937620588,13.818023145590175,59.63896399168309
