Investment,Code,Platform,Ccy,Net amount,Cost (EUR),Last price (ccy),Value (ccy),FX→EUR,Value (EUR),Unrealised (EUR),Unrealised %,Price_Missing
Prysmian Group,PRY.MI,revolut,EUR,5.28154106,500.0,119.80000305175781,632.7286351059843,1.0,632.7286351059843,132.72863510598427,26.545727021196853,False
Gold,XAU,revolut,USD,0.144924,504.98,4787.39990234375,693.8091434472656,1.1728830337524414,591.5416315875423,86.56163158754225,17.141596021137918,False
Dermant,WDH1.HA,revolut,EUR,19.12384969,500.0,26.360000610351562,504.10468950067155,1.0,504.10468950067155,4.1046895006715545,0.8209379001343109,False
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,6.685987659999999,750.01,112.2300033569336,750.3684175262165,1.0,750.3684175262165,0.358417526216499,0.04778836631731564,False
TOTALS (priced only),,,,,2254.99,,,,2478.7433737204146,223.75337372041486,9.922588291762485,False
Unpriced cost at risk,,,,,0.0,,,,,,,True
