ticker,date,signal,close,rsi14,rsi_support_th,drawdown_20d,drawdown_entry_th,macd_hist,reason
IQQY.DE,2026-03-27,WAIT,35.775001525878906,36.0464512125615,56.654867525876085,0.08981042493038821,0.020465235832329964,-0.12133814235629964,"drawdown_macd_turn, rsi14=36.05, rsi_sup=56.65, dd20=0.090, dd_th=0.020, macd_improving"
VUAA.MI,2026-03-27,WAIT,107.23999786376952,29.160768486110598,59.025060655525024,0.055985921617775644,0.019559623570231173,-0.41245546819885115,"drawdown_macd_turn, rsi14=29.16, rsi_sup=59.03, dd20=0.056, dd_th=0.020"
XAD5.MI,2026-03-27,WAIT,376.7799987792969,40.461480108024894,60.10123577605639,0.1336996640280735,0.02963232317686556,-5.678119754302746,"drawdown_macd_turn, rsi14=40.46, rsi_sup=60.10, dd20=0.134, dd_th=0.030, bullish_day, macd_improving"
XMEU.DE,2026-03-27,WAIT,104.54000091552734,35.66173800793554,56.88127659091766,0.08937283853210974,0.021798818753004892,-0.3830271500512137,"drawdown_macd_turn, rsi14=35.66, rsi_sup=56.88, dd20=0.089, dd_th=0.022, macd_improving"
